"SEN_type","Ethnicity","Score","Pupils"
"Any SEN","All","27.6","76,961"
"Any SEN","Asian","27.7","5,818"
"Any SEN","Black","26.4","4,371"
"Any SEN","Chinese","39.8","158"
"Any SEN","Mixed","28.2","3,848"
"Any SEN","White","27.6","60,661"
"Any SEN","Other","28.0","1,113"
"Any SEN","Unknown","25.8","992"
"No identified SEN","All","49.9","464,515"
"No identified SEN","Asian","53.8","52,292"
"No identified SEN","Black","47.9","26,803"
"No identified SEN","Chinese","66.4","1,848"
"No identified SEN","Mixed","50.8","23,169"
"No identified SEN","White","49.4","346,034"
"No identified SEN","Other","49.8","8,494"
"No identified SEN","Unknown","47.4","5,875"
"SEN Support","All","32.6","56,588"
"SEN Support","Asian","33.4","4,216"
"SEN Support","Black","31.7","3,152"
"SEN Support","Chinese","51.6","105"
"SEN Support","Mixed","33.4","2,823"
"SEN Support","White","32.5","44,733"
"SEN Support","Other","32.7","841"
"SEN Support","Unknown","30.3","718"
"SEN with a statement or EHC plan","All","13.7","20,373"
"SEN with a statement or EHC plan","Asian","12.8","1,602"
"SEN with a statement or EHC plan","Black","12.7","1,219"
"SEN with a statement or EHC plan","Chinese","16.4","53"
"SEN with a statement or EHC plan","Mixed","14.1","1,025"
"SEN with a statement or EHC plan","White","13.8","15,928"
"SEN with a statement or EHC plan","Other","13.4","272"
"SEN with a statement or EHC plan","Unknown","14.0","274"
