"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Value","Value_type","Denominator","Numerator"
"Customer satisfaction (5 category)","White","ONS 5+2","2014/2015","Financial year","83","Percentage","12326","10207"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2014/2015","Financial year","82","Percentage","365","299"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2014/2015","Financial year","84","Percentage","793","665"
"Customer satisfaction (5 category)","Black","ONS 5+2","2014/2015","Financial year","75","Percentage","736","555"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2014/2015","Financial year","82","Percentage","302","249"
"Customer satisfaction (5 category)","Other","ONS 5+2","2014/2015","Financial year","73","Percentage","222","162"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2014/2015","Financial year","-","Percentage","-","-"
"Customer satisfaction (5 category)","White","ONS 5+2","2014/2015","Financial year","16","Percentage","12326","1950"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2014/2015","Financial year","15","Percentage","365","56"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2014/2015","Financial year","15","Percentage","793","120"
"Customer satisfaction (5 category)","Black","ONS 5+2","2014/2015","Financial year","22","Percentage","736","163"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2014/2015","Financial year","17","Percentage","302","52"
"Customer satisfaction (5 category)","Other","ONS 5+2","2014/2015","Financial year","23","Percentage","222","51"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2014/2015","Financial year","-","Percentage","-","-"
"Customer satisfaction (5 category)","White","ONS 5+2","2015/2016","Financial year","85","Percentage","12997","11011"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2015/2016","Financial year","79","Percentage","340","267"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2015/2016","Financial year","85","Percentage","766","650"
"Customer satisfaction (5 category)","Black","ONS 5+2","2015/2016","Financial year","83","Percentage","750","623"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2015/2016","Financial year","82","Percentage","388","317"
"Customer satisfaction (5 category)","Other","ONS 5+2","2015/2016","Financial year","74","Percentage","219","163"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2015/2016","Financial year","14","Percentage","168","102"
"Customer satisfaction (5 category)","White British","ONS 5+2","2015/2016","Financial year","14","Percentage","12997","1796"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2015/2016","Financial year","18","Percentage","340","62"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2015/2016","Financial year","14","Percentage","766","106"
"Customer satisfaction (5 category)","Black","ONS 5+2","2015/2016","Financial year","15","Percentage","750","113"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2015/2016","Financial year","16","Percentage","388","62"
"Customer satisfaction (5 category)","Other","ONS 5+2","2015/2016","Financial year","21","Percentage","219","47"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2015/2016","Financial year","27","Percentage","168","45"
