"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Value","Value_type","Denominator","Numerator"
"Customer satisfaction (5 category)","White","ONS 5+2","2014/2015","Financial year","83","Percentage of customers who are either 'fairly' or 'very' satisfied","12326","10207"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2014/2015","Financial year","82","Percentage of customers who are either 'fairly' or 'very' satisfied","365","299"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2014/2015","Financial year","84","Percentage of customers who are either 'fairly' or 'very' satisfied","793","665"
"Customer satisfaction (5 category)","Black","ONS 5+2","2014/2015","Financial year","75","Percentage of customers who are either 'fairly' or 'very' satisfied","736","555"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2014/2015","Financial year","82","Percentage of customers who are either 'fairly' or 'very' satisfied","302","249"
"Customer satisfaction (5 category)","Other","ONS 5+2","2014/2015","Financial year","73","Percentage of customers who are either 'fairly' or 'very' satisfied","222","162"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2014/2015","Financial year","-","Percentage of customers who are either 'fairly' or 'very' satisfied","-","-"
"Customer satisfaction (5 category)","White","ONS 5+2","2014/2015","Financial year","16","Percentage of customers who are either 'fairly' or 'very' dissatisfied","12326","1950"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2014/2015","Financial year","15","Percentage of customers who are either 'fairly' or 'very' dissatisfied","365","56"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2014/2015","Financial year","15","Percentage of customers who are either 'fairly' or 'very' dissatisfied","793","120"
"Customer satisfaction (5 category)","Black","ONS 5+2","2014/2015","Financial year","22","Percentage of customers who are either 'fairly' or 'very' dissatisfied","736","163"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2014/2015","Financial year","17","Percentage of customers who are either 'fairly' or 'very' dissatisfied","302","52"
"Customer satisfaction (5 category)","Other","ONS 5+2","2014/2015","Financial year","23","Percentage of customers who are either 'fairly' or 'very' dissatisfied","222","51"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2014/2015","Financial year","-","Percentage of customers who are either 'fairly' or 'very' dissatisfied","-","-"
"Customer satisfaction (5 category)","White","ONS 5+2","2015/2016","Financial year","85","Percentage of customers who are either 'fairly' or 'very' satisfied","12997","11011"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2015/2016","Financial year","79","Percentage of customers who are either 'fairly' or 'very' satisfied","340","267"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2015/2016","Financial year","85","Percentage of customers who are either 'fairly' or 'very' satisfied","766","650"
"Customer satisfaction (5 category)","Black","ONS 5+2","2015/2016","Financial year","83","Percentage of customers who are either 'fairly' or 'very' satisfied","750","623"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2015/2016","Financial year","82","Percentage of customers who are either 'fairly' or 'very' satisfied","388","317"
"Customer satisfaction (5 category)","Other","ONS 5+2","2015/2016","Financial year","74","Percentage of customers who are either 'fairly' or 'very' satisfied","219","163"
"Customer satisfaction (5 category)","Unreported","ONS 5+2","2015/2016","Financial year","14","Percentage of customers who are either 'fairly' or 'very' satisfied","168","102"
"Customer satisfaction (5 category)","White","ONS 5+2","2015/2016","Financial year","14","Percentage of customers who are either 'fairly' or 'very' dissatisfied","12997","1796"
"Customer satisfaction (5 category)","White Other","ONS 5+2","2015/2016","Financial year","18","Percentage of customers who are either 'fairly' or 'very' dissatisfied","340","62"
"Customer satisfaction (5 category)","Asian","ONS 5+2","2015/2016","Financial year","14","Percentage of customers who are either 'fairly' or 'very' dissatisfied","766","106"
"Customer satisfaction (5 category)","Black","ONS 5+2","2015/2016","Financial year","15","Percentage of customers who are either 'fairly' or 'very' dissatisfied","750","113"
"Customer satisfaction (5 category)","Mixed","ONS 5+2","2015/2016","Financial year","16","Percentage of customers who are either 'fairly' or 'very' dissatisfied","388","62"
"Customer satisfaction (5 category)","Other","ONS 5+2","2015/2016","Financial year","21","Percentage of customers who are either 'fairly' or 'very' dissatisfied","219","47"
