"Sex","Ethnicity","All (%)","Disabled (%)","Non-disabled (%)"
"All","All","22","44","16"
"All","Asian","30","46","27"
"All","Indian","21","36","18"
"All","Pakistani, Bangladeshi","38","52","34"
"All","Asian Other","32","47","30"
"All","Black","27","48","23"
"All","Mixed","28","48","23"
"All","White","20","43","14"
"All","White British","21","44","15"
"All","White Other","15","34","13"
"All","Other","34","53","31"
"Men","All","17","42","12"
"Men","Asian","19","35","17"
"Men","Indian","14","31","12"
"Men","Pakistani, Bangladeshi","21","35","18"
"Men","Asian Other","25","43","23"
"Men","Black","21","49","17"
"Men","Mixed","23","42","19"
"Men","White","16","42","11"
"Men","White British","17","43","11"
"Men","White Other","9","31","7"
"Men","Other","24","48","19"
"Women","All","26","45","21"
"Women","Asian","41","55","38"
"Women","Indian","28","40","26"
"Women","Pakistani, Bangladeshi","56","66","52"
"Women","Asian Other","38","51","36"
"Women","Black","31","47","28"
"Women","Mixed","32","53","27"
"Women","White","24","44","19"
"Women","White British","24","45","18"
"Women","White Other","21","36","19"
"Women","Other","44","57","41"
