"","All","","Men","","Women",""
"Ethnicity","%","Number of people economically inactive","%","Number of people economically inactive","%","Number of people economically inactive"
"All","22","8,624,100","17","3,324,600","26","5,299,600"
"Asian","30","960,700","19","302,300","41","658,400"
"Indian","21","233,100","14","78,600","28","154,500"
"Pakistani, Bangladeshi","38","469,900","21","133,800","56","336,000"
"Asian Other","32","257,700","25","89,900","38","167,800"
"Black","27","374,800","21","139,500","31","235,300"
"Mixed","28","152,200","23","60,000","32","92,300"
"White","20","6,849,300","16","2,722,000","24","4,127,300"
"White British","21","6,383,500","17","2,593,600","24","3,789,900"
"White Other","15","465,700","9","128,400","21","337,300"
"Other","34","275,600","24","97,200","44","178,400"
