"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","Numerator","Denominator"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barking and Dagenham","Country","E09000002","All","10-11","67","%","2270","3410"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnet","Country","E09000003","All","10-11","73","%","2901","3978"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Barnsley","Country","E08000016","All","10-11","65","%","1760","2721"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bath and North East Somerset","Country","E06000022","All","10-11","66","%","1256","1899"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bedford","Country","E06000055","All","10-11","48","%","971","2023"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bexley","Country","E09000004","All","10-11","70","%","2231","3183"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Birmingham","Country","E08000025","All","10-11","61","%","9524","15587"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackburn with Darwen","Country","E06000008","All","10-11","66","%","1427","2176"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Blackpool","Country","E06000009","All","10-11","62","%","1018","1653"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bolton","Country","E08000001","All","10-11","66","%","2478","3765"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bournemouth","Country","E06000028","All","10-11","67","%","1112","1654"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bracknell Forest","Country","E06000036","All","10-11","64","%","874","1374"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bradford","Country","E08000032","All","10-11","61","%","4639","7656"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brent","Country","E09000005","All","10-11","63","%","2309","3644"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Brighton and Hove","Country","E06000043","All","10-11","67","%","1768","2631"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bristol, City of","Country","E06000023","All","10-11","63","%","2922","4641"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bromley","Country","E09000006","All","10-11","75","%","2736","3652"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Buckinghamshire","Country","E10000002","All","10-11","66","%","4051","6119"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Bury","Country","E08000002","All","10-11","64","%","1465","2297"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Calderdale","Country","E08000033","All","10-11","62","%","1622","2627"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cambridgeshire","Country","E10000003","All","10-11","61","%","4156","6769"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Camden","Country","E09000007","All","10-11","72","%","1087","1501"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Central Bedfordshire","Country","E06000056","All","10-11","62","%","2046","3291"
"Percentage of pupils reaching the key stage 2 expected standard in reading, writing and mathematics by ethnicity ","All","ONS 2011 5+1","2017-2018","Academic Year","Cheshire East","Country","E06000049","All","10-11","68","%","2735","4036"
