"","All","Asian","Black","Mixed","White British","White other","Other"
"Income","£","£","£","£","£","£","£"
"Gross Income","548","401","425","553","556","487","520"
"Benefit Income","235","207","213","234","237","215","226"
"Benefit Income of which State Pension","189","141","142","177","192","151","144"
"Benefit Income of which Income-related benefits","22","38","49","43","20","38","45"
"Benefit Income of which Disability benefits","18","17","15","9","18","17","24"
"Occupational pension","161","69","73","99","167","104","112"
"Personal pension","20","9","4","19","21","18","7"
"Investments","42","24","16","49","43","31","52"
"Earnings","86","88","113","148","84","114","117"
"Other","4","3","6","5","4","4","5"
