"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority ","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Barking and Dagenham","80","2,713","90","620","80","877","100","7","80","212","74","934"
"Barnet","83","3,317","89","388","78","387","100","55","80","330","85","1,788"
"Barnsley","77","2,089","82","14","73","16","100","4","83","44","77","1,991"
"Bath and North East Somerset","75","1,433","75","21","33","4","71","5","76","76","76","1,316"
"Bedford","60","1,223","65","204","56","72","86","6","58","115","60","803"
"Bexley","79","2,523","93","234","83","505","97","29","76","176","76","1,517"
"Birmingham","73","11,376","76","4,302","72","1,470","94","61","70","932","71","3,870"
"Blackburn with Darwen","79","1,720","81","813","79","26","100","5","83","53","77","814"
"Blackpool","76","1,265","84","26","100","5","100","9","75","41","76","1,179"
"Bolton","78","2,930","82","732","65","146","92","12","84","129","77","1,863"
"Bournemouth","78","1,293","93","63","89","17","92","11","79","84","77","1,089"
"Bracknell Forest","75","1,025","83","71","74","34","100","3","75","62","74","845"
"Bradford","74","5,659","77","2,507","73","88","100","3","72","297","72","2,641"
"Brent","78","2,855","84","885","74","693","83","5","73","189","79","757"
"Brighton and Hove","77","2,018","78","72","66","35","100","11","77","230","77","1,607"
"Bristol, City of","74","3,452","69","265","66","372","96","25","70","253","77","2,489"
"Bromley","83","3,040","91","179","79","264","93","27","86","352","83","2,145"
"Buckinghamshire","76","4,657","79","810","69","114","90","18","73","329","76","3,309"
"Bury","76","1,753","72","242","68","38","100","5","67","79","78","1,354"
"Calderdale","75","1,968","75","301","81","13","50","1","68","64","75","1,571"
"Cambridgeshire","73","4,916","79","220","67","56","100","39","75","272","72","4,241"
"Camden","83","1,249","82","255","81","267","100","7","85","145","83","489"
"Central Bedfordshire","73","2,414","90","76","67","61","92","12","72","154","73","2,083"
"Cheshire East","78","3,134","82","58","74","14","100","15","80","127","77","2,888"
"Cheshire West and Chester","75","2,870","81","48","60","9","100","15","83","91","75","2,689"
"City of London","90","26","100","5","50","1","N/A","N/A","67","2","93","14"
"Cornwall","72","4,180","81","22","100","6","89","8","75","89","72","4,006"
"County Durham","79","4,373","89","31","56","9","77","10","85","60","79","4,232"
"Coventry","74","3,086","83","680","75","406","93","14","71","208","71","1,714"
"Croydon","78","3,486","89","634","74","1,008","96","22","78","517","77","1,198"
"Cumbria","76","3,876","86","31","71","5","93","13","75","47","76","3,731"
"Darlington","76","941","86","25","100","5","100","3","72","21","76","881"
"Derby","72","2,309","79","461","72","101","93","14","75","208","69","1,475"
"Derbyshire","75","6,145","85","79","71","22","85","22","73","166","75","5,803"
"Devon","75","5,856","88","38","63","10","93","13","82","147","75","5,567"
"Doncaster","73","2,552","73","76","62","28","94","15","74","77","73","2,321"
"Dorset","71","3,091","78","29","86","12","100","9","74","112","71","2,903"
"Dudley","70","2,560","76","327","67","63","80","8","68","157","69","1,943"
"Ealing","82","3,367","86","1,036","74","484","87","13","81","313","83","986"
"East Riding of Yorkshire","76","2,693","86","12","50","1","100","2","82","55","76","2,606"
"East Sussex","74","3,932","90","108","56","19","100","12","72","179","74","3,552"
"Enfield","76","3,370","85","332","74","828","100","24","75","326","75","1,599"
