"","Boys","","","","Girls","","",""
"Ethnicity","Expected standard","Higher standard","average scaled","Progress score","Expected standard","Higher standard","average scaled","Progress score"
"All","75","26","105","0.7","76","22","104","-0.7"
"Asian","81","35","106","2.7","81","30","106","1.1"
"Bangladeshi","81","33","106","2.9","81","27","105","1.1"
"Indian","87","45","108","3.4","88","42","108","1.8"
"Pakistani","75","25","105","1.8","75","20","104","0.3"
"Asian other","84","42","108","3.5","85","39","107","2.1"
"Black","73","21","104","0.7","77","20","104","-0.1"
"Black African","76","25","105","1.3","79","23","105","0.4"
"Black Caribbean","63","12","102","-1.0","69","13","102","-1.6"
"Black other","69","18","103","0.2","75","18","104","-0.3"
"Chinese","92","62","111","5.3","95","60","111","4.1"
"Mixed","75","26","105","0.6","76","23","104","-0.7"
"Mixed White/Asian","81","35","106","1.4","81","30","106","0.0"
"Mixed White/Black African","75","23","104","0.4","77","20","104","-0.8"
"Mixed White/Black Caribbean","66","15","102","-0.8","68","15","102","-1.9"
"Mixed other","77","29","105","1.2","78","26","105","-0.1"
"White","75","24","104","0.3","75","20","104","-1.0"
"White British","75","24","104","0.2","75","20","104","-1.2"
"White Irish","77","29","106","0.8","79","26","105","-0.2"
"Gypsy/Roma","30","3","96","-0.2","30","2","95","-1.2"
"Irish Traveller","35","4","97","-0.1","31","2","95","-2.1"
"White other","76","28","105","3.0","76","23","104","1.4"
"Other","77","29","106","3.2","75","23","105","1.4"
"Unknown","63","21","104","0.4","65","17","103","-0.8"
