"Ethnicity","Local Authority ","%","Number"
"All","Barking and Dagenham","80","2,713"
"All","Barnet","83","3,317"
"All","Barnsley","77","2,089"
"All","Bath and North East Somerset","75","1,433"
"All","Bedford","60","1,223"
"All","Bexley","79","2,523"
"All","Birmingham","73","11,376"
"All","Blackburn with Darwen","79","1,720"
"All","Blackpool","76","1,265"
"All","Bolton","78","2,930"
"All","Bournemouth","78","1,293"
"All","Bracknell Forest","75","1,025"
"All","Bradford","74","5,659"
"All","Brent","78","2,855"
"All","Brighton and Hove","77","2,018"
"All","Bristol, City of","74","3,452"
"All","Bromley","83","3,040"
"All","Buckinghamshire","76","4,657"
"All","Bury","76","1,753"
"All","Calderdale","75","1,968"
"All","Cambridgeshire","73","4,916"
"All","Camden","83","1,249"
"All","Central Bedfordshire","73","2,414"
"All","Cheshire East","78","3,134"
"All","Cheshire West and Chester","75","2,870"
"All","City of London","90","26"
"All","Cornwall","72","4,180"
"All","County Durham","79","4,373"
"All","Coventry","74","3,086"
"All","Croydon","78","3,486"
"All","Cumbria","76","3,876"
"All","Darlington","76","941"
"All","Derby","72","2,309"
"All","Derbyshire","75","6,145"
"All","Devon","75","5,856"
"All","Doncaster","73","2,552"
"All","Dorset","71","3,091"
"All","Dudley","70","2,560"
"All","Ealing","82","3,367"
"All","East Riding of Yorkshire","76","2,693"
"All","East Sussex","74","3,932"
"All","Enfield","76","3,370"
"All","Essex","76","12,234"
"All","Gateshead","81","1,688"
"All","Gloucestershire","74","4,792"
"All","Greenwich","80","2,598"
"All","Hackney","79","1,991"
"All","Halton","74","1,090"
"All","Hammersmith and Fulham","85","1,137"
"All","Hampshire","78","11,305"
"All","Haringey","77","2,363"
"All","Harrow","86","2,357"
"All","Hartlepool","78","883"
"All","Havering","82","2,415"
"All","Herefordshire, County of","78","1,464"
"All","Hertfordshire","77","10,497"
"All","Hillingdon","78","2,877"
"All","Hounslow","81","2,396"
"All","Isle of Wight","66","875"
"All","Isles of Scilly","82","28"
"All","Islington","77","1,440"
"All","Kensington and Chelsea","85","820"
"All","Kent","75","13,075"
"All","Kingston upon Hull, City of","78","2,442"
"All","Kingston upon Thames","81","1,453"
"All","Kirklees","73","3,880"
"All","Knowsley","75","1,287"
"All","Lambeth","81","2,389"
"All","Lancashire","76","10,378"
"All","Leeds","73","6,486"
"All","Leicester","74","3,335"
"All","Leicestershire","77","5,792"
"All","Lewisham","79","2,675"
"All","Lincolnshire","71","5,501"
"All","Liverpool","74","3,619"
"All","Luton","73","2,246"
"All","Manchester","75","4,960"
"All","Medway","73","2,383"
"All","Merton","83","1,913"
"All","Middlesbrough","75","1,353"
"All","Milton Keynes","75","2,632"
"All","Newcastle upon Tyne","80","2,228"
"All","Newham","87","3,984"
"All","Norfolk","71","6,221"
"All","North East Lincolnshire","77","1,468"
"All","North Lincolnshire","76","1,487"
"All","North Somerset","74","1,772"
"All","North Tyneside","78","1,743"
"All","North Yorkshire","72","4,223"
"All","Northamptonshire","72","6,466"
"All","Northumberland","75","2,504"
"All","Nottingham","74","2,567"
"All","Nottinghamshire","77","6,960"
"All","Oldham","76","2,559"
"All","Oxfordshire","74","5,257"
"All","Peterborough","68","1,894"
"All","Plymouth","73","2,107"
"All","Poole","73","1,030"
"All","Portsmouth","68","1,460"
"All","Reading","71","1,161"
"All","Redbridge","82","3,191"
"All","Redcar and Cleveland","83","1,313"
"All","Richmond upon Thames","89","1,893"
"All","Rochdale","74","2,137"
