"Ethnicity","Expected standard","Higher standard","Average scaled","Progress score"
"All","76","24","104","0.0"
"Asian","81","32","106","1.9"
"Bangladeshi","81","30","106","2.0"
"Indian","87","44","108","2.6"
"Pakistani","75","23","104","1.1"
"Asian other","85","40","107","2.8"
"Black","75","21","104","0.3"
"Black African","78","24","105","0.9"
"Black Caribbean","66","13","102","-1.3"
"Black other","72","18","103","0.0"
"Chinese","94","61","111","4.7"
"Mixed","75","24","104","0.0"
"Mixed White/Asian","81","33","106","0.7"
"Mixed White/Black African","76","22","104","-0.1"
"Mixed White/Black Caribbean","67","15","102","-1.3"
"Mixed other","78","27","105","0.6"
"White","75","22","104","-0.3"
"White British","75","22","104","-0.5"
"White Irish","78","28","105","0.3"
"Gypsy/Roma","30","3","96","-0.7"
"Irish Traveller","33","3","96","-1.1"
"White other","76","25","105","2.2"
"Other","76","26","105","2.3"
"Unknown","64","19","104","-0.2"
