"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","Value","Value_type","CI lower","CI upper","Sample size"
"All Domestic Abuse","All","All","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","5.3","%","4.9","5.8","13551"
"All Domestic Abuse","Any Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Arab","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Asian","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","4.6","%","2.8","6.4","812"
"All Domestic Abuse","Asian Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","3.7","%","0.0","7.9","139"
"All Domestic Abuse","Bangladeshi","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Black","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","5.7","%","2.8","8.6","364"
"All Domestic Abuse","Black African","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","4.5","%","1.4","7.6","207"
"All Domestic Abuse","Black Caribbean","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Black Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Chinese","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","!","%","!","!","!"
"All Domestic Abuse","Indian","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","4.2","%","1.7","6.7","337"
"All Domestic Abuse","Mixed","ONS 2011 5 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","5.8","%","2.5","9.2","161"
"All Domestic Abuse","Mixed Other","ONS 2011 18 + 1","Apr '17 to Mar '18","Year","England and Wales","Region","K04000001","All","16-74","?","%","?","?","40"
