"Gender","Ethnicity","%","Sample size"
"Male","All","3.6","11,313"
"Male","Asian","3.0","794"
"Male","Bangladeshi","0.4","74"
"Male","Chinese","0.8","57"
"Male","Indian","5.2","333"
"Male","Pakistani","2.0","181"
"Male","Asian other","2.0","149"
"Male","Black","2.7","300"
"Male","Black African","3.2","194"
"Male","Black Caribbean","1.9","82"
"Male","Black other","?","24"
"Male","Mixed","5.9","162"
"Male","Mixed White/Asian","6.4","54"
"Male","Mixed White/Black African","?","24"
"Male","Mixed White/Black Caribbean","?","43"
"Male","Mixed other","?","41"
"Male","White","3.6","9,947"
"Male","White British","3.7","9,222"
"Male","White Irish","!","!"
"Male","White Gypsy/Traveller","!","!"
"Male","White other","2.4","650"
"Male","Other","6.1","97"
"Male","Arab","?","42"
"Male","Any other","4.2","55"
"Female","All","7.3","13,198"
"Female","Asian","4.4","738"
"Female","Bangladeshi","3.0","56"
"Female","Chinese","2.8","88"
"Female","Indian","4.6","276"
"Female","Pakistani","5.3","170"
"Female","Asian other","4.4","148"
"Female","Black","4.6","425"
"Female","Black African","4.9","259"
"Female","Black Caribbean","4.1","132"
"Female","Black other","?","34"
"Female","Mixed","9.4","177"
"Female","Mixed White/Asian","?","40"
"Female","Mixed White/Black African","?","19"
"Female","Mixed White/Black Caribbean","11.7","63"
"Female","Mixed other","4.5","55"
"Female","White","7.7","11,732"
"Female","White British","8.0","10,793"
"Female","White Irish","!","!"
"Female","White Gypsy/Traveller","!","!"
"Female","White other","4.7","837"
"Female","Other","5.1","111"
"Female","Arab","?","45"
"Female","Any other","6.7","66"
