"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography ","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type"," Denominator "," Numerator ","Value"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 13,700 ","3.1"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 7,800 ","1.8"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 6,400 ","1.5"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 3,800 ","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 2,000 ","0.5"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2001","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 444,800 "," 411,000 ","93.2"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 14,400 ","3.0"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 10,000 ","2.1"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 7,900 ","1.6"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 3,900 ","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 2,300 ","0.5"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2001","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 491,300 "," 452,700 ","92.9"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 24,500 ","3.7"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 18,000 ","2.7"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 11,400 ","1.7"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 5,500 ","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 4,100 ","0.6"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2001","2010/11","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 665,900 "," 602,400 ","91.2"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 31,600 ","4.0"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 25,500 ","3.2"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 14,300 ","1.8"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 6,800 ","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 5,500 ","0.7"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2011/12","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 806,500 "," 722,800 ","90.4"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","32800","3.8"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","28500","3.3"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","16200","1.9"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","9000","n/a"
"Percentage of participants in apprenticeships for each ethnic group","Other Ethnic group","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","6000","0.7"
"Percentage of participants in apprenticeships for each ethnic group","White","ONS 5+1 2011","2012/13","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 868,700 ","776200","90.3"
"Percentage of participants in apprenticeships for each ethnic group","Asian/Asian British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","34000","4.0"
"Percentage of participants in apprenticeships for each ethnic group","Black/African/Caribbean/Black British","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","27400","3.3"
"Percentage of participants in apprenticeships for each ethnic group","Mixed/Multiple Ethnic group","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","17000","2.0"
"Percentage of participants in apprenticeships for each ethnic group","Not known/not provided","ONS 5+1 2011","2013/14","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets"," 851,500 ","9100","n/a"
