"Ethnicity","Year","%","Apprentices"
"Asian","2011/12","4.0","31,600"
"Asian","2012/13","3.8","32,800"
"Asian","2013/14","4.0","34,000"
"Asian","2014/15","4.3","37,000"
"Asian","2015/16","4.3","38,400"
"Asian","2016/17","4.4","39,300"
"Asian","2017/18","4.5","36,200"
"Asian","2018/19","5.0","36,700"
"Black","2011/12","3.2","25,500"
"Black","2012/13","3.3","28,500"
"Black","2013/14","3.3","27,400"
"Black","2014/15","3.4","29,500"
"Black","2015/16","3.6","31,500"
"Black","2016/17","3.7","33,000"
"Black","2017/18","3.6","29,000"
"Black","2018/19","3.5","25,300"
"Mixed","2011/12","1.8","14,300"
"Mixed","2012/13","1.9","16,200"
"Mixed","2013/14","2.0","17,000"
"Mixed","2014/15","2.1","18,300"
"Mixed","2015/16","2.2","19,100"
"Mixed","2016/17","2.2","19,700"
"Mixed","2017/18","2.3","18,400"
"Mixed","2018/19","2.5","18,600"
"White","2011/12","90.4","722,800"
"White","2012/13","90.3","776,200"
"White","2013/14","90.0","758,400"
"White","2014/15","89.5","773,400"
"White","2015/16","89.3","791,700"
"White","2016/17","89.0","801,200"
"White","2017/18","88.8","714,000"
"White","2018/19","88.2","645,700"
"Other","2011/12","0.7","5,500"
"Other","2012/13","0.7","6,000"
"Other","2013/14","0.7","5,500"
"Other","2014/15","0.7","5,900"
"Other","2015/16","0.7","6,200"
"Other","2016/17","0.8","6,900"
"Other","2017/18","0.8","6,600"
"Other","2018/19","0.8","5,600"
