"Measure","Apprenticeship_level","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","3,510","2.1"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","2,560","1.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,770","1.1"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,520","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","1,060","0.6"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","167,690","157,270","94.6"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","4,210","2.2"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","2,820","1.5"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","2,260","1.2"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","1,460","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","670","0.3"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","193,560","182,140","94.8"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","4,660","2.5"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","2,920","1.6"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","2,460","1.3"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","1,720","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","820","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","189,030","176,450","94.2"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","4,100","2.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","2,350","1.4"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","2,310","1.3"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","1,340","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","750","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","174,970","164,120","94.5"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","4,680","2.6"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","2,430","1.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","2,660","1.5"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","1,440","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","750","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","184,430","172,470","94.3"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","6,500","2.9"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","3,600","1.6"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","3,150","1.4"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","2,290","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","1,000","0.4"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","224,770","208,230","93.6"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","9,450","4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","5,110","2.2"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","3,840","1.6"
"Percentage of apprenticeship starts for each ethnicity","All","Not known/not provided","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","2,450","n/a"
"Percentage of apprenticeship starts for each ethnicity","All","Other Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","1,220","0.5"
"Percentage of apprenticeship starts for each ethnicity","All","White","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","239,960","217,890","91.7"
"Percentage of apprenticeship starts for each ethnicity","All","Asian/Asian British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","9,390","3.4"
"Percentage of apprenticeship starts for each ethnicity","All","Black/African/Caribbean/Black British","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","6,390","2.3"
"Percentage of apprenticeship starts for each ethnicity","All","Mixed/Multiple Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","279,670","5,020","1.8"
