"","Boys","","Girls",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","44.0","276,638","49.5","265,930"
"Asian","48.6","30,008","54.0","28,103"
"Bangladeshi","48.2","4,942","53.0","4,935"
"Indian","54.9","8,082","60.0","7,347"
"Pakistani","43.6","12,063","48.9","11,439"
"Asian other","51.1","4,921","58.3","4,382"
"Black","41.1","15,519","48.7","15,656"
"Black African","43.6","9,802","51.0","10,005"
"Black Caribbean","35.7","3,776","43.2","3,717"
"Black other","38.7","1,941","47.2","1,934"
"Chinese","62.7","1,002","65.9","1,004"
"Mixed","44.9","13,558","50.3","13,460"
"Mixed White/Asian","51.0","3,130","55.5","3,014"
"Mixed White/Black African","44.2","1,617","50.6","1,645"
"Mixed White/Black Caribbean","37.3","3,629","44.4","3,875"
"Mixed other","46.8","5,182","51.8","4,926"
"White","43.5","207,380","48.9","199,328"
"White British","43.6","191,323","48.9","184,089"
"White Irish","49.7","878","54.7","810"
"Gypsy/Roma","16.7","615","21.4","628"
"Irish Traveller","22.7","84","31.6","67"
"White other","44.2","14,480","49.5","13,734"
"Other","44.5","4,983","50.3","4,624"
"Unknown","38.1","4,188","43.2","3,755"
