"","Free school meals","","No free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","34.9","76,237","48.6","466,331"
"Asian","43.8","9,394","52.7","48,717"
"Bangladeshi","46.4","2,504","52.0","7,373"
"Indian","48.2","1,070","58.0","14,359"
"Pakistani","41.0","4,650","47.4","18,852"
"Asian other","45.0","1,170","55.9","8,133"
"Black","39.4","7,131","46.5","24,044"
"Black African","42.3","4,326","48.8","15,481"
"Black Caribbean","34.1","1,896","41.2","5,597"
"Black other","36.7","909","44.9","2,966"
"Chinese","57.9","130","64.8","1,876"
"Mixed","36.8","5,406","50.3","21,612"
"Mixed White/Asian","38.9","847","55.5","5,297"
"Mixed White/Black African","40.2","699","49.4","2,563"
"Mixed White/Black Caribbean","32.4","1,974","44.0","5,530"
"Mixed other","39.3","1,886","51.5","8,222"
"White","32.0","50,614","48.1","356,094"
"White British","31.8","47,358","48.2","328,054"
"White Irish","37.0","214","54.3","1,474"
"Gypsy/Roma","16.9","418","20.2","825"
"Irish Traveller","22.2","85","32.3","66"
"White other","39.0","2,539","47.6","25,675"
"Other","42.4","2,388","48.9","7,219"
"Unknown","33.9","1,174","41.7","6,769"
