"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Geography","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All - England","46.8","540,006","51.5","57,606","45.2","30,819","64.5","1,996","47.7","26,905","46.2","405,623"
"Barking and Dagenham","46.4","2,353","53.3","530","48.0","642","69.0","3","44.7","227","41.7","903"
"Barnet","57.1","3,804","68.6","536","49.8","532","72.9","44","55.7","398","56.7","1,821"
"Barnsley","44.1","2,097","43.7","7","38.2","18","66.0","1","49.0","36","44.1","2,021"
"Bath and North East Somerset","48.9","2,134","56.1","38","32.4","22","69.5","8","45.6","87","49.6","1,840"
"Bedford","45.2","1,843","46.3","271","40.4","122","63.3","3","42.2","148","45.6","1,253"
"Bexley","49.6","3,115","59.5","221","55.3","612","73.8","31","51.8","216","46.0","1,966"
"Birmingham","46.6","13,034","48.4","5,206","43.0","1,708","69.8","38","45.4","1,015","46.6","4,242"
"Blackburn with Darwen","46.4","1,875","50.3","889","46.1","19","59.0","3","45.3","54","42.5","880"
"Blackpool","37.8","1,156","52.8","27","42.6","5","48.8","3","36.8","32","37.5","1,083"
"Bolton","44.6","3,325","51.7","731","43.7","170","58.3","8","42.9","128","42.4","2,235"
"Bournemouth, Christchurch and Poole","50.0","3,554","61.4","88","48.7","24","68.9","18","52.0","165","49.9","3,081"
"Bracknell Forest","46.9","1,112","49.4","55","48.7","33","72.0","1","50.9","56","46.3","951"
"Bradford","42.4","6,080","43.1","2,774","42.2","97","65.7","6","41.1","248","41.6","2,813"
"Brent","50.2","3,038","53.1","876","45.2","703","65.9","4","50.6","216","48.0","572"
"Brighton and Hove","47.6","2,221","48.0","81","46.1","53","50.1","9","47.5","198","47.8","1,820"
"Bristol, City of","44.7","3,378","47.2","268","39.9","385","72.0","10","44.3","280","45.3","2,339"
"Bromley","50.8","3,312","67.2","206","48.6","338","72.9","36","53.5","323","49.1","2,314"
"Buckinghamshire","55.1","5,789","57.6","1,148","49.8","156","74.1","35","53.7","366","54.5","3,974"
"Bury","43.5","2,132","45.6","339","39.8","51","64.7","9","43.3","104","43.1","1,590"
"Calderdale","49.2","2,547","51.8","429","45.4","44","63.8","4","46.8","114","48.8","1,942"
"Cambridgeshire","49.2","5,726","57.6","194","44.8","65","65.2","27","50.9","243","48.7","5,044"
"Camden","48.6","1,571","47.8","278","44.9","402","67.1","9","49.7","195","51.3","541"
"Central Bedfordshire","44.8","2,722","53.5","50","42.3","62","59.2","10","46.0","146","44.6","2,397"
"Cheshire East","49.3","3,727","55.0","43","43.9","13","64.8","16","50.4","114","49.2","3,493"
"Cheshire West and Chester","46.9","3,461","51.9","46","38.5","16","50.7","8","50.2","71","46.9","3,285"
"Cornwall","45.4","5,100","48.1","15","45.0","8","53.4","4","46.5","94","45.4","4,901"
"County Durham","45.0","4,796","55.8","34","46.0","15","56.6","7","52.0","60","45.3","4,597"
"Coventry","43.6","3,513","50.7","683","42.7","365","70.4","9","41.5","221","41.7","2,162"
"Croydon","45.5","3,640","51.1","477","41.5","1,130","63.2","17","45.3","570","47.1","1,283"
"Cumbria","46.1","4,930","50.9","32","44.3","10","60.3","17","51.7","66","46.1","4,604"
"Darlington","46.6","1,156","45.3","19","39.2","3","43.0","3","52.1","25","46.6","1,089"
"Derby","43.3","2,845","48.3","528","43.2","95","65.9","8","40.9","179","42.3","1,953"
"Derbyshire","46.2","7,249","49.2","69","47.2","17","61.8","16","45.1","163","46.2","6,936"
"Devon","46.3","6,817","62.8","39","35.5","11","58.6","20","47.0","120","46.2","6,364"
"Doncaster","44.0","3,003","51.2","92","48.0","29","67.1","9","43.8","73","43.7","2,761"
"Dorset","46.4","3,500","53.8","37","43.0","7","61.6","8","49.0","89","46.3","3,318"
"Dudley","43.9","3,299","45.4","310","41.3","100","45.1","8","42.9","231","44.0","2,547"
"Ealing","50.9","2,956","52.8","906","47.1","560","73.3","7","51.2","204","52.6","815"
"East Midlands","45.8","47,019","50.7","4,087","44.1","1,440","62.5","123","44.8","2,028","45.4","38,424"
"East Riding of Yorkshire","47.1","3,093","53.1","10","29.6","3","52.0","2","48.9","53","47.1","3,000"
"East Sussex","45.3","4,784","56.6","86","43.7","31","64.7","10","47.8","204","45.1","4,356"
"East of England","47.0","60,993","53.0","3,873","47.2","2,134","64.5","245","48.3","2,895","46.4","50,485"
"Enfield","46.5","3,606","57.3","308","43.2","890","70.3","19","49.9","318","45.1","1,769"
"Essex","46.1","14,485","62.7","354","48.1","477","64.3","60","49.0","507","45.4","12,735"
"Gateshead","46.9","1,842","57.7","46","56.7","19","72.7","6","42.7","22","46.3","1,666"
"Gloucestershire","49.6","6,390","60.1","206","44.4","86","66.0","20","50.5","225","49.2","5,767"
"Greenwich","45.3","2,364","52.6","178","46.1","708","57.6","28","44.9","247","43.0","1,098"
"Hackney","49.2","2,230","52.3","280","44.8","849","67.0","10","49.2","200","53.4","749"
"Halton","45.4","1,363","55.5","6","NA","NA","55.5","1","50.0","20","45.3","1,316"
"Hammersmith and Fulham","53.9","1,326","54.9","120","47.0","305","66.8","5","52.5","140","58.3","594"
"Hampshire","47.6","12,818","54.8","327","43.8","105","56.7","42","49.8","346","47.2","11,776"
"Haringey","46.9","2,336","53.3","127","41.2","634","61.5","13","50.1","235","48.6","1,090"
"Harrow","50.9","2,210","56.3","939","42.4","326","52.3","11","49.4","191","48.8","575"
"Hartlepool","43.0","994","54.0","17","34.8","3","70.3","2","47.4","12","42.7","952"
"Havering","48.5","2,829","53.3","162","50.0","340","63.2","16","50.4","157","47.8","2,090"
"Herefordshire, County of","44.7","1,710","62.7","5","NA","NA","49.5","1","39.3","29","44.8","1,662"
"Hertfordshire","51.1","12,874","59.4","970","48.2","545","67.2","78","51.5","800","50.4","10,275"
"Hillingdon","47.7","3,203","53.4","760","45.4","379","54.7","9","50.4","325","44.4","1,436"
"Hounslow","49.3","2,731","53.9","833","48.5","352","35.3","4","50.1","227","50.3","877"
"Inner London","48.4","26,861","51.9","5,764","44.3","8,148","63.9","183","47.8","2,619","50.1","7,648"
"Isle of Wight","41.8","1,173","72.0","1","47.8","3","NA","NA","40.6","28","41.9","1,132"
"Isles of Scilly","52.4","14","NA","NA","NA","NA","NA","NA","46.0","1","52.8","13"
"Islington","45.8","1,465","52.5","171","42.3","414","68.1","7","47.8","188","44.9","551"
"Kensington and Chelsea","53.6","867","57.8","37","49.0","169","81.8","4","53.9","109","54.7","343"
"Kent","47.4","15,833","61.1","649","55.4","423","65.5","66","51.7","701","46.2","13,742"
"Kingston upon Hull, City of","43.9","2,355","59.8","40","45.0","50","42.0","2","50.4","69","44.0","2,071"
"Kingston upon Thames","56.9","1,550","66.1","404","47.1","76","75.3","19","55.4","140","52.7","802"
"Kirklees","45.3","4,706","46.5","1,272","38.2","95","64.5","11","40.7","269","45.4","2,994"
"Knowsley","33.8","994","55.5","5","41.7","9","54.8","2","30.8","17","33.5","954"
"Lambeth","44.1","2,189","50.9","91","41.4","1,058","64.2","18","44.3","267","47.9","567"
"Lancashire","46.7","12,086","48.2","1,366","46.7","44","65.4","42","49.1","319","46.4","10,198"
"Leeds","45.1","7,621","46.0","891","43.3","466","67.5","35","43.7","398","46.1","5,503"
"Leicester","43.1","3,576","48.5","1,736","40.9","405","64.1","10","39.2","215","36.5","1,108"
"Leicestershire","46.2","7,154","54.8","583","44.0","94","59.8","22","45.7","311","45.4","6,070"
"Lewisham","43.7","2,187","50.9","131","40.8","999","58.8","21","44.3","267","46.0","623"
"Lincolnshire","46.8","7,652","67.4","135","50.2","44","72.7","10","54.4","190","46.2","7,178"
"Liverpool","43.1","4,723","61.3","144","42.9","163","63.4","44","44.2","259","42.3","3,879"
"Luton","43.4","2,594","46.2","1,163","41.8","323","64.5","2","42.1","195","40.2","838"
"Manchester","43.3","4,993","48.4","1,179","43.3","952","58.9","40","43.2","395","39.8","2,069"
"Medway","46.6","3,068","58.7","182","52.2","177","64.1","12","48.4","173","45.1","2,479"
"Merton","51.1","1,455","54.3","249","44.7","263","72.3","5","52.0","196","52.1","686"
"Middlesbrough","41.5","1,347","48.5","157","48.9","26","NA","NA","41.2","60","40.0","1,066"
"Milton Keynes","45.0","2,920","49.6","273","43.6","392","58.8","12","48.4","228","44.1","1,940"
"Newcastle upon Tyne","43.6","2,387","48.2","249","43.2","92","61.5","14","47.2","76","42.6","1,891"
"Newham","48.8","3,933","52.4","1,852","45.7","978","63.7","14","46.4","226","43.1","622"
"Norfolk","45.3","7,640","55.2","94","46.6","54","60.8","26","46.6","219","45.0","7,116"
"North East","44.7","25,455","50.0","902","46.4","218","63.3","60","48.1","471","44.5","23,358"
"North East Lincolnshire","41.4","1,606","43.5","11","34.8","2","NA","NA","45.6","28","44.4","1,314"
"North Lincolnshire","44.6","1,672","48.6","65","47.6","9","59.0","3","44.6","27","44.5","1,523"
"North Somerset","46.1","2,117","48.7","24","46.4","13","54.2","6","48.1","58","46.0","1,992"
"North Tyneside","45.9","2,007","50.9","55","38.3","14","67.4","9","48.4","40","45.7","1,869"
"North West","45.5","74,006","49.3","7,488","44.2","2,003","63.3","319","46.5","2,623","45.1","59,824"
"North Yorkshire","48.7","6,135","56.3","130","52.7","23","73.9","7","51.5","140","48.5","5,773"
"Northamptonshire","45.4","7,538","53.3","338","47.0","364","61.4","21","42.9","385","45.0","6,316"
"Northumberland","46.5","3,004","52.1","39","48.4","6","63.0","11","52.0","57","46.1","2,875"
"Nottingham","42.6","2,753","48.4","494","43.4","308","49.6","8","41.2","290","40.7","1,544"
"Nottinghamshire","47.5","7,746","54.7","202","47.3","111","64.4","28","49.8","281","47.3","6,837"
"Oldham","42.1","2,994","43.1","964","43.3","94","52.3","7","41.1","130","41.8","1,726"
"Outer London","50.4","52,840","56.6","11,060","46.4","9,205","68.4","344","50.6","4,870","48.9","23,508"
"Oxfordshire","47.4","6,153","47.7","363","43.4","149","50.7","16","47.8","352","47.8","5,100"
