"Ethnicity","Geography","Score","Pupils"
"All","All - England","46.8","540,006"
"All","Barking and Dagenham","46.4","2,353"
"All","Barnet","57.1","3,804"
"All","Barnsley","44.1","2,097"
"All","Bath and North East Somerset","48.9","2,134"
"All","Bedford","45.2","1,843"
"All","Bexley","49.6","3,115"
"All","Birmingham","46.6","13,034"
"All","Blackburn with Darwen","46.4","1,875"
"All","Blackpool","37.8","1,156"
"All","Bolton","44.6","3,325"
"All","Bournemouth, Christchurch and Poole","50.0","3,554"
"All","Bracknell Forest","46.9","1,112"
"All","Bradford","42.4","6,080"
"All","Brent","50.2","3,038"
"All","Brighton and Hove","47.6","2,221"
"All","Bristol, City of","44.7","3,378"
"All","Bromley","50.8","3,312"
"All","Buckinghamshire","55.1","5,789"
"All","Bury","43.5","2,132"
"All","Calderdale","49.2","2,547"
"All","Cambridgeshire","49.2","5,726"
"All","Camden","48.6","1,571"
"All","Central Bedfordshire","44.8","2,722"
"All","Cheshire East","49.3","3,727"
"All","Cheshire West and Chester","46.9","3,461"
"All","Cornwall","45.4","5,100"
"All","County Durham","45.0","4,796"
"All","Coventry","43.6","3,513"
"All","Croydon","45.5","3,640"
"All","Cumbria","46.1","4,930"
"All","Darlington","46.6","1,156"
"All","Derby","43.3","2,845"
"All","Derbyshire","46.2","7,249"
"All","Devon","46.3","6,817"
"All","Doncaster","44.0","3,003"
"All","Dorset","46.4","3,500"
"All","Dudley","43.9","3,299"
"All","Ealing","50.9","2,956"
"All","East Midlands","45.8","47,019"
"All","East Riding of Yorkshire","47.1","3,093"
"All","East Sussex","45.3","4,784"
"All","East of England","47.0","60,993"
"All","Enfield","46.5","3,606"
"All","Essex","46.1","14,485"
"All","Gateshead","46.9","1,842"
"All","Gloucestershire","49.6","6,390"
"All","Greenwich","45.3","2,364"
"All","Hackney","49.2","2,230"
"All","Halton","45.4","1,363"
"All","Hammersmith and Fulham","53.9","1,326"
"All","Hampshire","47.6","12,818"
"All","Haringey","46.9","2,336"
"All","Harrow","50.9","2,210"
"All","Hartlepool","43.0","994"
"All","Havering","48.5","2,829"
"All","Herefordshire, County of","44.7","1,710"
"All","Hertfordshire","51.1","12,874"
"All","Hillingdon","47.7","3,203"
"All","Hounslow","49.3","2,731"
"All","Inner London","48.4","26,861"
"All","Isle of Wight","41.8","1,173"
"All","Isles of Scilly","52.4","14"
"All","Islington","45.8","1,465"
"All","Kensington and Chelsea","53.6","867"
"All","Kent","47.4","15,833"
"All","Kingston upon Hull, City of","43.9","2,355"
"All","Kingston upon Thames","56.9","1,550"
"All","Kirklees","45.3","4,706"
"All","Knowsley","33.8","994"
"All","Lambeth","44.1","2,189"
"All","Lancashire","46.7","12,086"
"All","Leeds","45.1","7,621"
"All","Leicester","43.1","3,576"
"All","Leicestershire","46.2","7,154"
"All","Lewisham","43.7","2,187"
"All","Lincolnshire","46.8","7,652"
"All","Liverpool","43.1","4,723"
"All","Luton","43.4","2,594"
"All","Manchester","43.3","4,993"
"All","Medway","46.6","3,068"
"All","Merton","51.1","1,455"
"All","Middlesbrough","41.5","1,347"
"All","Milton Keynes","45.0","2,920"
"All","Newcastle upon Tyne","43.6","2,387"
"All","Newham","48.8","3,933"
"All","Norfolk","45.3","7,640"
"All","North East","44.7","25,455"
"All","North East Lincolnshire","41.4","1,606"
"All","North Lincolnshire","44.6","1,672"
"All","North Somerset","46.1","2,117"
"All","North Tyneside","45.9","2,007"
"All","North West","45.5","74,006"
"All","North Yorkshire","48.7","6,135"
"All","Northamptonshire","45.4","7,538"
"All","Northumberland","46.5","3,004"
"All","Nottingham","42.6","2,753"
"All","Nottinghamshire","47.5","7,746"
"All","Oldham","42.1","2,994"
"All","Outer London","50.4","52,840"
"All","Oxfordshire","47.4","6,153"
"All","Peterborough","42.2","2,330"
"All","Plymouth","43.7","2,546"
"All","Portsmouth","40.8","1,647"
"All","Reading","50.5","1,141"
"All","Redbridge","54.0","3,687"
"All","Redcar and Cleveland","43.8","1,539"
"All","Richmond upon Thames","54.1","1,586"
"All","Rochdale","42.6","2,350"
"All","Rotherham","44.4","3,140"
"All","Rutland","51.3","506"
"All","Salford","39.3","2,100"
"All","Sandwell","42.2","3,657"
"All","Sefton","44.2","2,935"
"All","Sheffield","44.9","5,224"
"All","Shropshire","46.2","2,925"
"All","Slough","53.4","1,856"
"All","Solihull","47.6","2,943"
"All","Somerset","44.9","4,935"
"All","South East","48.0","85,952"
"All","South Gloucestershire","44.8","2,575"
"All","South Tyneside","42.6","1,568"
"All","South West","46.7","51,455"
