"Gender","Ethnicity","Score","Pupils"
"Boys","All","44.0","276,638"
"Boys","Asian","48.6","30,008"
"Boys","Bangladeshi","48.2","4,942"
"Boys","Indian","54.9","8,082"
"Boys","Pakistani","43.6","12,063"
"Boys","Asian other","51.1","4,921"
"Boys","Black","41.1","15,519"
"Boys","Black African","43.6","9,802"
"Boys","Black Caribbean","35.7","3,776"
"Boys","Black other","38.7","1,941"
"Boys","Chinese","62.7","1,002"
"Boys","Mixed","44.9","13,558"
"Boys","Mixed White/Asian","51.0","3,130"
"Boys","Mixed White/Black African","44.2","1,617"
"Boys","Mixed White/Black Caribbean","37.3","3,629"
"Boys","Mixed other","46.8","5,182"
"Boys","White","43.5","207,380"
"Boys","White British","43.6","191,323"
"Boys","White Irish","49.7","878"
"Boys","Gypsy/Roma","16.7","615"
"Boys","Irish Traveller","22.7","84"
"Boys","White other","44.2","14,480"
"Boys","Other","44.5","4,983"
"Boys","Unknown","38.1","4,188"
"Girls","All","49.5","265,930"
"Girls","Asian","54.0","28,103"
"Girls","Bangladeshi","53.0","4,935"
"Girls","Indian","60.0","7,347"
"Girls","Pakistani","48.9","11,439"
"Girls","Asian other","58.3","4,382"
"Girls","Black","48.7","15,656"
"Girls","Black African","51.0","10,005"
"Girls","Black Caribbean","43.2","3,717"
"Girls","Black other","47.2","1,934"
"Girls","Chinese","65.9","1,004"
"Girls","Mixed","50.3","13,460"
"Girls","Mixed White/Asian","55.5","3,014"
"Girls","Mixed White/Black African","50.6","1,645"
"Girls","Mixed White/Black Caribbean","44.4","3,875"
"Girls","Mixed other","51.8","4,926"
"Girls","White","48.9","199,328"
"Girls","White British","48.9","184,089"
"Girls","White Irish","54.7","810"
"Girls","Gypsy/Roma","21.4","628"
"Girls","Irish Traveller","31.6","67"
"Girls","White other","49.5","13,734"
"Girls","Other","50.3","4,624"
"Girls","Unknown","43.2","3,755"
