"Ethnicity","NHS trust board","Headcount","%"
"White","2Gether NHS Foundation Trust","14","93.3"
"White","Aintree University Hospital NHS Foundation Trust","12","100.0"
"White","Airedale NHS Foundation Trust","12","100.0"
"White","Alder Hey Children's NHS Foundation Trust","17","94.4"
"White","Ashford and St Peter's Hospitals NHS Foundation Trust","14","93.3"
"White","Avon and Wiltshire Mental Health Partnership NHS Trust","10","71.4"
"White","Barking, Havering and Redbridge University Hospitals NHS Trust","12","80.0"
"White","Barnet, Enfield and Haringey Mental Health NHS Trust","12","92.3"
"White","Barnsley Hospital NHS Foundation Trust","13","100.0"
"White","Barts Health NHS Trust","14","82.4"
"White","Basildon and Thurrock University Hospitals NHS Foundation Trust","12","80.0"
"White","Bedford Hospital NHS Trust","10","100.0"
"White","Berkshire Healthcare NHS Foundation Trust","11","84.6"
"White","Birmingham Community Healthcare NHS Foundation Trust","9","64.3"
"White","Birmingham Women's and Children's NHS Foundation Trust","12","85.7"
"White","Birmingham and Solihull Mental Health NHS Foundation Trust","5","38.5"
"White","Black Country Partnership NHS Foundation Trust","3","37.5"
"White","Blackpool Teaching Hospitals NHS Foundation Trust","9","60.0"
"White","Bolton NHS Foundation Trust","12","92.3"
"White","Bradford District Care NHS Foundation Trust","10","76.9"
"White","Bradford Teaching Hospitals NHS Foundation Trust","15","83.3"
"White","Bridgewater Community Healthcare NHS Foundation Trust","13","86.7"
"White","Brighton and Sussex University Hospitals NHS Trust","10","76.9"
"White","Buckinghamshire Healthcare NHS Trust","12","80.0"
"White","Burton Hospitals NHS Foundation Trust","14","93.3"
"White","Calderdale and Huddersfield NHS Foundation Trust","17","94.4"
"White","Cambridge University Hospitals NHS Foundation Trust","17","100.0"
"White","Cambridgeshire Community Services NHS Trust","11","100.0"
"White","Cambridgeshire and Peterborough NHS Foundation Trust","15","100.0"
"White","Camden and Islington NHS Foundation Trust","13","92.9"
"White","Central London Community Healthcare NHS Trust","9","90.0"
"White","Central Manchester University Hospitals NHS Foundation Trust","12","70.6"
"White","Central and North West London NHS Foundation Trust","13","76.5"
"White","Chelsea and Westminster Hospital NHS Foundation Trust","17","89.5"
"White","Cheshire and Wirral Partnership NHS Foundation Trust","12","85.7"
"White","Chesterfield Royal Hospital NHS Foundation Trust","14","100.0"
"White","City Hospitals Sunderland NHS Foundation Trust","10","100.0"
"White","Colchester Hospital University NHS Foundation Trust","10","76.9"
"White","Cornwall Partnership NHS Foundation Trust","13","81.3"
"White","Countess Of Chester Hospital NHS Foundation Trust","12","92.3"
"White","County Durham and Darlington NHS Foundation Trust","12","100.0"
"White","Coventry and Warwickshire Partnership NHS Trust","11","78.6"
"White","Croydon Health Services NHS Trust","10","66.7"
"White","Cumbria Partnership NHS Foundation Trust","8","80.0"
"White","Dartford and Gravesham NHS Trust","11","84.6"
"White","Derby Teaching Hospitals NHS Foundation Trust","9","69.2"
"White","Derbyshire Community Health Services NHS Foundation Trust","14","93.3"
"White","Derbyshire Healthcare NHS Foundation Trust","11","91.7"
"White","Devon Partnership NHS Trust","14","100.0"
"White","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","10","83.3"
"White","Dorset County Hospital NHS Foundation Trust","14","93.3"
"White","Dorset Healthcare University NHS Foundation Trust","12","85.7"
"White","Dudley and Walsall Mental Health Partnership NHS Trust","8","66.7"
"White","ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST","11","64.7"
"White","East Cheshire NHS Trust","8","80.0"
"White","East Kent Hospitals University NHS Foundation Trust","11","78.6"
"White","East Lancashire Hospitals NHS Trust","18","94.7"
"White","East London NHS Foundation Trust","10","55.6"
"White","East Midlands Ambulance Service NHS Trust","12","92.3"
"White","East Of England Ambulance Service NHS Trust","10","66.7"
"White","East Sussex Healthcare NHS Trust","14","100.0"
"White","East and North Hertfordshire NHS Trust","12","100.0"
"White","Epsom and St Helier University Hospitals NHS Trust","13","81.3"
"White","Frimley Health NHS Foundation Trust","10","71.4"
"White","Gateshead Health NHS Foundation Trust","14","100.0"
"White","George Eliot Hospital NHS Trust","14","93.3"
"White","Gloucestershire Care Services NHS Trust","13","100.0"
"White","Gloucestershire Hospitals NHS Foundation Trust","16","100.0"
