"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Headcount","Value","Value_type"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","Other","White & Other","1","6.70","%"
"Percentage of NHS trust board members","2Gether NHS Foundation Trust","RTQ","Mental Health","South","White","White & Other","14","93.30","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","Other","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Aintree University Hospital NHS Foundation Trust","REM","Acute","North","White","White & Other","12","100.00","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","Other","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Airedale NHS Foundation Trust","RCF","Acute","North","White","White & Other","12","100.00","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","Other","White & Other","1","5.60","%"
"Percentage of NHS trust board members","Alder Hey Children's NHS Foundation Trust","RBS","Acute","North","White","White & Other","17","94.40","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","Other","White & Other","1","6.70","%"
"Percentage of NHS trust board members","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Acute","South","White","White & Other","14","93.30","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","Other","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","Unknown","White & Other","4","28.60","%"
"Percentage of NHS trust board members","Avon and Wiltshire Mental Health Partnership NHS Trust","RVN","Mental Health","South","White","White & Other","10","71.40","%"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","Other","White & Other","3","20.00","%"
"Percentage of NHS trust board members","Barking, Havering and Redbridge University Hospitals NHS Trust","RF4","Acute","London","White","White & Other","12","80.00","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","Other","White & Other","1","7.70","%"
"Percentage of NHS trust board members","Barnet, Enfield and Haringey Mental Health NHS Trust","RRP","Mental Health","London","White","White & Other","12","92.30","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","Other","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Barnsley Hospital NHS Foundation Trust","RFF","Acute","North","White","White & Other","13","100.00","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","Unknown","White & Other","0","0.00","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","Other","White & Other","3","17.60","%"
"Percentage of NHS trust board members","Barts Health NHS Trust","R1H","Acute","London","White","White & Other","14","82.40","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","Other","White & Other","1","6.70","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","Unknown","White & Other","2","13.30","%"
"Percentage of NHS trust board members","Basildon and Thurrock University Hospitals NHS Foundation Trust","RDD","Acute","Midlands & East","White","White & Other","12","80.00","%"
"Percentage of NHS trust board members","Bedford Hospital NHS Trust","RC1","Acute","Midlands & East","Other","White & Other","0","0.00","%"
