"Measure","NHS_trust_board","NHS_trust_code","NHS_trust_type","Grouped_region","Ethnicity","Ethnicity_type","Value","Value_type"
"Percentage of NHS trust board members","Manchester University NHS Foundation Trust","R0A","Acute and Acute & Community Trusts","North West","White","White & Other","70.1","%"
"Percentage of NHS trust board members","Manchester University NHS Foundation Trust","R0A","Acute and Acute & Community Trusts","North West","Other","White & Other","21","%"
"Percentage of NHS trust board members","Manchester University NHS Foundation Trust","R0A","Acute and Acute & Community Trusts","North West","Unknown","White & Other","8.8","%"
"Percentage of NHS trust board members","South Tyneside and Sunderland NHS Foundation Trust","R0B","Acute and Acute & Community Trusts","North East and Yorkshire","White","White & Other","84.6","%"
"Percentage of NHS trust board members","South Tyneside and Sunderland NHS Foundation Trust","R0B","Acute and Acute & Community Trusts","North East and Yorkshire","Other","White & Other","11.2","%"
"Percentage of NHS trust board members","South Tyneside and Sunderland NHS Foundation Trust","R0B","Acute and Acute & Community Trusts","North East and Yorkshire","Unknown","White & Other","4.2","%"
"Percentage of NHS trust board members","University Hospitals Dorset NHS Foundation Trust","R0D","Acute and Acute & Community Trusts","South West","White","White & Other","76.6","%"
"Percentage of NHS trust board members","University Hospitals Dorset NHS Foundation Trust","R0D","Acute and Acute & Community Trusts","South West","Other","White & Other","19.9","%"
"Percentage of NHS trust board members","University Hospitals Dorset NHS Foundation Trust","R0D","Acute and Acute & Community Trusts","South West","Unknown","White & Other","3.4","%"
"Percentage of NHS trust board members","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","White","White & Other","87.3","%"
"Percentage of NHS trust board members","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Other","White & Other","6.2","%"
"Percentage of NHS trust board members","Herefordshire and Worcestershire Health and Care NHS Trust","R1A","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","Midlands","Unknown","White & Other","6.4","%"
"Percentage of NHS trust board members","Solent NHS Trust","R1C","Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts","South East","White","White & Other","89.6","%"
