"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Involvement Type","Rate per 1,000 people","Numerator"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Assailant","N/A","3383"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Assailant","N/A","250"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Assailant","N/A","1116"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Assailant","N/A","231"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Assailant","N/A","43"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","139"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Fighter","N/A","5192"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Fighter","N/A","363"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Fighter","N/A","1678"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Fighter","N/A","317"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Fighter","N/A","89"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","27"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","White","ONS 5+1 2001","Victim","N/A","3178"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Asian","ONS 5+1 2001","Victim","N/A","334"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Black","ONS 5+1 2001","Victim","N/A","571"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Mixed","ONS 5+1 2001","Victim","N/A","125"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Other","ONS 5+1 2001","Victim","N/A","39"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2004","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","24"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Assailant","N/A","4259"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Assailant","N/A","307"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Assailant","N/A","1440"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Assailant","N/A","336"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Assailant","N/A","46"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","76"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Fighter","N/A","6712"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Fighter","N/A","465"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Fighter","N/A","1814"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Fighter","N/A","479"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Fighter","N/A","49"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","37"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","White","ONS 5+1 2001","Victim","N/A","3911"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Asian","ONS 5+1 2001","Victim","N/A","405"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Black","ONS 5+1 2001","Victim","N/A","705"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Mixed","ONS 5+1 2001","Victim","N/A","201"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Other","ONS 5+1 2001","Victim","N/A","48"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2005","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","29"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Assailant","N/A","4513"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Assailant","N/A","336"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Assailant","N/A","1470"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Assailant","N/A","396"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Assailant","N/A","38"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","46"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Fighter","N/A","7327"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Fighter","N/A","523"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Fighter","N/A","1965"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Fighter","N/A","526"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Fighter","N/A","67"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","39"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","White","ONS 5+1 2001","Victim","N/A","4108"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Asian","ONS 5+1 2001","Victim","N/A","437"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Black","ONS 5+1 2001","Victim","N/A","796"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Mixed","ONS 5+1 2001","Victim","N/A","215"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Other","ONS 5+1 2001","Victim","N/A","50"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2006","Year","Not recorded/unknown","ONS 5+1 2001","Victim","N/A","25"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Assailant","N/A","4241"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Assailant","N/A","359"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Assailant","N/A","1424"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Assailant","N/A","409"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Assailant","N/A","59"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Assailant","N/A","43"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Fighter","N/A","7928"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Asian","ONS 5+1 2001","Fighter","N/A","560"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Black","ONS 5+1 2001","Fighter","N/A","2108"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Mixed","ONS 5+1 2001","Fighter","N/A","672"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Other","ONS 5+1 2001","Fighter","N/A","85"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","Not recorded/unknown","ONS 5+1 2001","Fighter","N/A","33"
"Prisoner assailant, victims and fighters per 1,000 prisoners","2007","Year","White","ONS 5+1 2001","Victim","N/A","4166"
