"Ethnicity","Average Point Score","Grade","Number of Students"
"All","34.01","C+","283,532"
"Asian","31.64","C","31,468"
"Bangladeshi","30.38","C","5,328"
"Indian","34.16","C+","10,083"
"Pakistani","29.45","C","10,301"
"Asian other","32.02","C+","5,756"
"Black","28.91","C","13,889"
"Black African","29.15","C","9,896"
"Black Caribbean","27.88","C-","2,523"
"Black other","28.95","C","1,470"
"Chinese","38.42","B","1,676"
"Mixed","33.09","C+","11,305"
"Mixed White/Asian","35.36","B-","2,999"
"Mixed White/Black African","31.52","C","1,381"
"Mixed White/Black Caribbean","30.44","C","2,473"
"Mixed other","33.36","C+","4,452"
"White","33.37","C+","174,015"
"White British","33.38","C+","160,792"
"White Irish","34.94","C+","1,007"
"Gypsy/Roma","29.32","C","57"
"Irish Traveller","21.61","D","11"
"White other","33.23","C+","12,148"
"Other","31.73","C+","4,494"
"Unknown","39.41","B","46,685"
