"Ethnicity","Value","Grade","Number of students"
"All","5.64","L2Merit-","3,308"
"Asian","5.23","L2Pass+","205"
"Bangladeshi","5.81","L2Merit-","31"
"Indian","5.53","L2Merit-","47"
"Pakistani","4.95","L2Pass","98"
"Asian other","5.07","L2Pass","29"
"Black","4.88","L2Pass","106"
"Black African","4.84","L2Pass","70"
"Black Caribbean","5.28","L2Pass+","22"
"Black other","4.40","L1Dist+","14"
"Chinese","6.50","L2Merit+","5"
"Mixed","5.59","L2Merit-","130"
"Mixed White/Asian","5.67","L2Merit-","21"
"Mixed White/Black African","5.35","L2Pass+","18"
"Mixed White/Black Caribbean","5.64","L2Merit-","48"
"Mixed other","5.61","L2Merit-","43"
"White","5.68","L2Merit-","2,566"
"White British","5.69","L2Merit-","2,447"
"White Irish","5.87","L2Merit","6"
"Gypsy/Roma","5.18","L2Pass+","7"
"Irish Traveller","N/A","N/A","0"
"White other","5.44","L2Pass+","106"
"Other","5.11","L2Pass","41"
"Unknown","5.85","L2Merit","255"
