"years after graduation","Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)"
"1 year after graduation","All","63.6","24.1"
"1 year after graduation","White","65.1","23.5"
"1 year after graduation","White and Black Caribbean","66.3","20.4"
"1 year after graduation","White and Black African","58.8","24.2"
"1 year after graduation","White and Asian","58.2","26.6"
"1 year after graduation","Mixed Other","57.8","23.9"
"1 year after graduation","Indian","63.8","23.6"
"1 year after graduation","Pakistani","57.1","27.0"
"1 year after graduation","Bangladeshi","62.9","24.1"
"1 year after graduation","Chinese","54.6","25.8"
"1 year after graduation","Asian Other","59.6","25.7"
"1 year after graduation","Black African","56.8","29.1"
"1 year after graduation","Black Caribbean","65.3","21.3"
"1 year after graduation","Black Other","56.1","25.5"
"1 year after graduation","Arab","45.2","35.7"
"1 year after graduation","Other","54.3","27.3"
"1 year after graduation","Not known","62.8","19.6"
"3 years after graduation","All","71.3","14.6"
"3 years after graduation","White","72.5","14.4"
"3 years after graduation","White and Black Caribbean","72.4","13.3"
"3 years after graduation","White and Black African","67.0","14.9"
"3 years after graduation","White and Asian","67.9","16.0"
"3 years after graduation","Mixed Other","65.6","15.3"
"3 years after graduation","Indian","73.0","13.5"
"3 years after graduation","Pakistani","67.2","14.6"
"3 years after graduation","Bangladeshi","74.6","11.7"
"3 years after graduation","Chinese","62.9","13.5"
"3 years after graduation","Asian Other","64.6","15.9"
"3 years after graduation","Black African","62.5","20.4"
"3 years after graduation","Black Caribbean","69.4","16.3"
"3 years after graduation","Black Other","60.0","17.2"
"3 years after graduation","Arab","54.2","22.9"
"3 years after graduation","Other","62.8","14.9"
"3 years after graduation","Not known","67.8","13.7"
"5 years after graduation","All","74.5","10.4"
"5 years after graduation","White","75.7","10.3"
"5 years after graduation","White and Black Caribbean","75.3","9.5"
"5 years after graduation","White and Black African","69.1","11.5"
"5 years after graduation","White and Asian","70.6","11.4"
"5 years after graduation","Mixed Other","67.3","11.0"
"5 years after graduation","Indian","77.4","8.7"
"5 years after graduation","Pakistani","70.5","8.9"
"5 years after graduation","Bangladeshi","76.4","6.8"
"5 years after graduation","Chinese","65.1","9.5"
"5 years after graduation","Asian Other","68.4","11.8"
"5 years after graduation","Black African","65.4","15.6"
"5 years after graduation","Black Caribbean","73.1","11.6"
"5 years after graduation","Black Other","64.4","12.3"
"5 years after graduation","Arab","?","?"
"5 years after graduation","Other","65.8","11.8"
"5 years after graduation","Not known","68.5","10.7"
"10 years after graduation","All","76.7","5.6"
"10 years after graduation","White","78.0","5.5"
"10 years after graduation","White and Black Caribbean","76.4","7.6"
"10 years after graduation","White and Black African","69.0","7.4"
"10 years after graduation","White and Asian","72.6","7.0"
"10 years after graduation","Mixed Other","69.8","5.9"
"10 years after graduation","Indian","78.6","4.5"
"10 years after graduation","Pakistani","71.7","4.5"
"10 years after graduation","Bangladeshi","76.1","4.5"
"10 years after graduation","Chinese","61.8","4.2"
"10 years after graduation","Asian Other","69.5","6.7"
"10 years after graduation","Black African","66.5","9.7"
"10 years after graduation","Black Caribbean","75.0","7.4"
"10 years after graduation","Black Other","68.1","8.3"
"10 years after graduation","Arab","N/A","N/A"
"10 years after graduation","Other","66.0","6.8"
"10 years after graduation","Not known","71.8","6.5"
