"","2009/10-2011/12","2010/11-2012/13","2011/12-2013/14","2012/13-2014/15","2013/14-2015/16","2014/15-2016/17"
"","%","%","%","%","%","%"
"All","62","61","60","58","57","56"
"Asian","49","50","50","49","48","47"
"Bangladeshi","53","52","59","55","56","56"
"Chinese","29","29","31","30","30","32"
"Indian","48","48","48","47","46","45"
"Pakistani","56","59","57","57","53","53"
"Asian other","48","51","49","49","44","45"
"Black","58","60","59","58","54","55"
"Mixed","49","47","46","44","45","44"
"White British","64","63","62","60","59","58"
"White other","48","47","46","45","42","39"
"Other","55","53","52","49","49","44"
