"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","96,040"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","80,127"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","75,593"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","4,534"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","1,071"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","6,852"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","3,033"
"Percentage entering low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","544"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","16,569"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","11,964"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","11,281"
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2013-2014 to 2016-2017","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","683"
