"measure","Ethnicity","% ","Number of Respondents "
"Before Housing Costs","All","34","13,474"
"Before Housing Costs","Asian","31","2,343"
"Before Housing Costs","Black","30","643"
"Before Housing Costs","Mixed","37","180"
"Before Housing Costs","White","34","9,952"
"Before Housing Costs","White British","34","9,433"
"Before Housing Costs","White other","32","519"
"Before Housing Costs","Other","16","111"
"After Housing Costs","All","31","16,149"
"After Housing Costs","Asian","27","2,738"
"After Housing Costs","Black","25","963"
"After Housing Costs","Mixed","26","312"
"After Housing Costs","White","31","11,644"
"After Housing Costs","White British","32","10,969"
"After Housing Costs","White other","29","675"
"After Housing Costs","Other","7","182"
