"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Note"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","29,344"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","24,681"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","23,364"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","1,317"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","316"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","17","2,356"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","897"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","157"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","12","6,840"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","10","5,319"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","10","4,984"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","12","335"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","99","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","26","866"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","21","292"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working-age adults/pensioners","?","52","Suppressed"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","15,896"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","13,209"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","7","12,496"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","White other","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","6","713"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","8","185"," "
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2014-2018","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working-age adults","All/Children/Working-age adults/pensioners","12","1,343"," "
