"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","86,287"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","72,959"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","68,938"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","4,021"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","965"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","5,934"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","2,592"
"Percentage entering into persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","476"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","15,200"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","11,093"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","10,514"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","579"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","213"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","2,694"
"Percentage exiting persistent low income (based on 60% of median income, Before Housing Costs)","2014-2015 to 2017-2018","Average over three survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","752"
