"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","9","32,976"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","27,289"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","8","25,797"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","7","1,492"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","10","366"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","18","2,755"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","14","1,075"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working age adults/pensioners","18","190"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","11","7,848"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","5,966"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","10","5,579"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","7","387"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","9","119"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","27","1,012"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","16","370"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Children","All/Children/Working age adults/pensioners","?","66"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","18,016"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","14,734"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","7","13,905"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","5","829"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Mixed","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","10","219"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Asian","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","14","1,569"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Black","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","12","599"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","Other","ONS 5+2","K02000001","United Kingdom","All","All","Working age adults","All/Children/Working age adults/pensioners","14","105"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","All","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","7,112"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,589"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","11","6,313"
"Percentage in persistent low income (based on 60% of median income, Before Housing Costs)","2013-2017","Four survey periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","Pensioners","All/Children/Working age adults/pensioners","10","276"
