"Ethnicity","Socio-economic classification","%","Sample size"
"Asian","All","78","4,759"
"Asian","Managerial and professional occupations","77","1,667"
"Asian","Intermediate occupations","76","910"
"Asian","Routine and manual occupations","80","1,222"
"Asian","Never worked and long-term unemployed","86","540"
"Asian","Full time students","77","350"
"Asian","Not classified","74","70"
"Black","All","70","1,978"
"Black","Managerial and professional occupations","69","603"
"Black","Intermediate occupations","63","275"
"Black","Routine and manual occupations","75","773"
"Black","Never worked and long-term unemployed","72","139"
"Black","Full time students","65","151"
"Black","Not classified","?","37"
"Mixed","All","70","782"
"Mixed","Managerial and professional occupations","69","285"
"Mixed","Intermediate occupations","66","129"
"Mixed","Routine and manual occupations","67","228"
"Mixed","Never worked and long-term unemployed","?","37"
"Mixed","Full time students","76","94"
"Mixed","Not classified","?","9"
"White","All","76","68,454"
"White","Managerial and professional occupations","78","25,860"
"White","Intermediate occupations","75","15,933"
"White","Routine and manual occupations","74","22,784"
"White","Never worked and long-term unemployed","71","1,608"
"White","Full time students","83","1,702"
"White","Not classified","72","567"
"Other","All","78","661"
"Other","Managerial and professional occupations","77","197"
"Other","Intermediate occupations","79","108"
"Other","Routine and manual occupations","76","182"
"Other","Never worked and long-term unemployed","83","81"
"Other","Full time students","78","85"
"Other","Not classified","?","8"
