"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Age","Age Bracket Type","Employer / non-employer","UK Nation","Sector","Value","Value_type","Value_note","Denominator","Numerator"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","All","88.1"," %","","4079814","3593766"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","England","All","87.8"," %","","3591441","3154968"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Scotland","All","89.6"," %","","245066","219693"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Wales","All","95.4"," %","","158319","151068"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","Northern Ireland","All","79.9"," %","","83481","66709"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","ABDE. Primary sector ","92.8"," %","","121932","113114"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","C. Manufacturing ","91.7"," %","","187660","172111"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","F. Construction ","93.7"," %","","802172","751340"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","G. Retail & wholesale ","89.6"," %","","279639","250539"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","H. Transport & storage ","90.5"," %","","236912","214308"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","I. Accommodation & food service ","90.7"," %","","54404","49350"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","J. Information & communication ","85.9"," %","","265702","228241"
"Percentage of Small and Medium Enterprise (SME) employers that are majority-led by those from an ethnic minority, White ethnic group, or unknown","White","White & other","2015","Year","18+","Labour Force age bracket","Non employer","UK","KL. Financial & real estate ","78.8"," %","","128255","101036"
