"Ethnicity","Sector","Percentage","Number"
"White","All","87.8","3,913,298"
"White","ABDE. Agriculture & utilities","91.6","122,052"
"White","C. Manufacturing","93.1","174,914"
"White","F. Construction","90.9","782,839"
"White","G. Retail & wholesale","86.4","263,323"
"White","H. Transport & storage","90.6","281,018"
"White","I. Accommodation & food service","83.4","55,038"
"White","J. Information & communication","86.4","244,917"
"White","KL. Financial & real estate","92.2","124,360"
"White","M. Professional & scientific","91.7","614,632"
"White","N. Administrative services","90.0","344,896"
"White","P. Education","84.2","241,453"
"White","Q. Health and social care","79.2","238,620"
"White","R. Arts & entertainment","83.4","219,045"
"White","S. Other services","76.2","207,227"
"Other than White","All","3.8","167,265"
"Other than White","ABDE. Agriculture & utilities","1.2","1,575"
"Other than White","C. Manufacturing","2.5","4,781"
"Other than White","F. Construction","2.3","20,087"
"Other than White","G. Retail & wholesale","7.8","23,633"
"Other than White","H. Transport & storage","0.4","1,236"
"Other than White","I. Accommodation & food service","5.1","3,332"
"Other than White","J. Information & communication","7.5","21,177"
"Other than White","KL. Financial & real estate","3.1","4,248"
"Other than White","M. Professional & scientific","3.6","24,234"
"Other than White","N. Administrative services","4.8","18,477"
"Other than White","P. Education","1.4","3,896"
"Other than White","Q. Health and social care","8.2","24,703"
"Other than White","R. Arts & entertainment","1.8","4,682"
"Other than White","S. Other services","3.4","9,197"
"Unknown","All","8.5","378,942"
"Unknown","ABDE. Agriculture & utilities","7.3","9,683"
"Unknown","C. Manufacturing","4.3","8,114"
"Unknown","F. Construction","6.7","58,016"
"Unknown","G. Retail & wholesale","5.9","17,936"
"Unknown","H. Transport & storage","9.0","27,763"
"Unknown","I. Accommodation & food service","11.5","7,601"
"Unknown","J. Information & communication","6.1","17,348"
"Unknown","KL. Financial & real estate","4.7","6,275"
"Unknown","M. Professional & scientific","4.6","31,137"
"Unknown","N. Administrative services","5.1","19,724"
"Unknown","P. Education","14.4","41,309"
"Unknown","Q. Health and social care","12.6","37,837"
"Unknown","R. Arts & entertainment","14.8","38,909"
"Unknown","S. Other services","20.4","55,440"
