"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography_code","Gender","Age","FSM","Value","Value_type","Denominator","Numerator"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","75","%","666393","499230"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","60","%","107158","64759"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","78","%","559235","434471"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","71","%","341213","241643"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","55","%","55056","30468"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","74","%","286157","211175"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","All","79","%","325180","257587"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","FSM","66","%","52102","34291"
"Percentage of pupils reaching the expected standard in key stage 1 reading","All","All","2018-2019","Academic Year","England","Country","E92000001","Girls","6-7","Non-FSM","82","%","273078","223296"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","All","77","%","73121","56058"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","FSM","69","%","9320","6451"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","All","6-7","Non-FSM","78","%","63801","49607"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","All","72","%","37378","26968"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","FSM","64","%","4792","3061"
"Percentage of pupils reaching the expected standard in key stage 1 reading","Asian","ONS 2011 5+1","2018-2019","Academic Year","England","Country","E92000001","Boys","6-7","Non-FSM","73","%","32586","23907"
