"Ethnicity","Geography","% officers","% population","Number of police officers"
"Asian","All - excluding BTP","2.9","6.8","3,475"
"Asian","Avon & Somerset","0.4","2.1","10"
"Asian","Bedfordshire","5.4","13.2","63"
"Asian","British Transport Police","4.3","N/A","119"
"Asian","Cambridgeshire","1.3","4.9","19"
"Asian","Cheshire","0.5","1.2","9"
"Asian","Cleveland","1.0","3.1","12"
"Asian","Cumbria","0.3","0.6","3"
"Asian","Derbyshire","2.0","3.6","36"
"Asian","Devon & Cornwall","0.1","0.7","3"
"Asian","Dorset","0.3","1.4","3"
"Asian","Durham","0.4","0.8","4"
"Asian","Dyfed-Powys","0.2","0.8","2"
"Asian","Essex","0.4","2.3","11"
"Asian","Gloucestershire","0.8","1.8","8"
"Asian","Greater Manchester","4.0","9.2","254"
"Asian","Gwent","0.9","1.7","11"
"Asian","Hampshire","0.9","3.0","24"
"Asian","Hertfordshire","1.5","5.7","31"
"Asian","Humberside","0.6","1.3","12"
"Asian","Kent","1.3","3.1","47"
"Asian","Lancashire","2.8","7.4","76"
"Asian","Leicestershire","4.9","15.3","87"
"Asian","Lincolnshire","0.5","0.8","5"
"Asian","London, City of","2.4","9.2","18"
"Asian","Merseyside","0.4","1.4","15"
"Asian","Metropolitan Police","5.9","17.0","1,752"
"Asian","Norfolk","0.4","1.1","6"
"Asian","North Wales","0.2","0.9","3"
"Asian","North Yorkshire","0.7","1.2","10"
"Asian","Northamptonshire","1.2","3.3","14"
"Asian","Northumbria","0.5","2.7","15"
"Asian","Nottinghamshire","2.4","4.4","46"
"Asian","South Wales","0.7","2.8","20"
"Asian","South Yorkshire","2.0","4.1","46"
"Asian","Staffordshire","1.2","3.2","19"
"Asian","Suffolk","0.3","1.5","4"
"Asian","Surrey","1.3","4.8","24"
"Asian","Sussex","0.4","2.5","11"
"Asian","Thames Valley","1.8","8.5","72"
"Asian","Warwickshire","3.1","4.2","25"
"Asian","West Mercia","0.9","1.8","18"
"Asian","West Midlands","6.9","18.0","442"
"Asian","West Yorkshire","3.5","12.6","180"
"Asian","Wiltshire","0.6","2.6","6"
"Black","All - excluding BTP","1.2","3.3","1,492"
"Black","Avon & Somerset","0.4","1.9","10"
"Black","Bedfordshire","1.5","4.8","17"
"Black","British Transport Police","2.6","N/A","72"
"Black","Cambridgeshire","0.5","1.3","8"
"Black","Cheshire","0.3","0.3","5"
"Black","Cleveland","0.4","0.6","5"
"Black","Cumbria","0.2","0.1","2"
"Black","Derbyshire","0.3","1.0","5"
"Black","Devon & Cornwall","0.3","0.2","6"
"Black","Dorset","0.2","0.4","2"
"Black","Durham","0.1","0.2","1"
"Black","Dyfed-Powys","0.1","0.2","1"
"Black","Essex","0.2","2.0","5"
"Black","Gloucestershire","0.4","0.9","4"
"Black","Greater Manchester","0.8","2.8","48"
"Black","Gwent","0.5","0.6","6"
"Black","Hampshire","0.3","0.9","8"
"Black","Hertfordshire","0.8","2.8","16"
"Black","Humberside","0.4","0.5","8"
"Black","Kent","0.3","1.3","10"
"Black","Lancashire","0.1","0.4","3"
"Black","Leicestershire","0.6","2.4","11"
"Black","Lincolnshire","0.6","0.4","6"
"Black","London, City of","1.8","2.6","13"
"Black","Merseyside","0.5","1.1","18"
"Black","Metropolitan Police","3.5","13.3","1,037"
"Black","Norfolk","0.6","0.5","10"
"Black","North Wales","0.1","0.2","1"
"Black","North Yorkshire","0.1","0.5","1"
"Black","Northamptonshire","0.9","2.4","11"
"Black","Northumbria","0.1","0.6","3"
"Black","Nottinghamshire","0.9","2.5","17"
"Black","South Wales","0.2","1.0","5"
"Black","South Yorkshire","0.4","1.9","10"
"Black","Staffordshire","0.4","0.8","7"
"Black","Suffolk","0.3","0.9","4"
"Black","Surrey","0.6","1.1","12"
"Black","Sussex","0.2","0.9","6"
"Black","Thames Valley","0.6","3.0","25"
"Black","Warwickshire","0.1","0.8","1"
"Black","West Mercia","0.3","0.4","6"
"Black","West Midlands","1.4","6.0","93"
"Black","West Yorkshire","0.5","2.1","24"
"Black","Wiltshire","0.4","0.9","4"
"Mixed","All - excluding BTP","2.1","2.2","2,473"
"Mixed","Avon & Somerset","2.2","1.8","52"
"Mixed","Bedfordshire","3.1","3.0","36"
"Mixed","British Transport Police","2.7","N/A","74"
"Mixed","Cambridgeshire","2.0","2.0","29"
"Mixed","Cheshire","0.9","1.0","17"
"Mixed","Cleveland","0.1","1.0","1"
"Mixed","Cumbria","0.6","0.5","7"
"Mixed","Derbyshire","0.9","1.4","16"
"Mixed","Devon & Cornwall","1.0","0.9","25"
"Mixed","Dorset","1.2","1.3","14"
"Mixed","Durham","1.1","0.7","12"
"Mixed","Dyfed-Powys","0.7","0.6","6"
"Mixed","Essex","1.9","1.6","56"
"Mixed","Gloucestershire","1.2","1.5","12"
"Mixed","Greater Manchester","2.0","2.3","128"
"Mixed","Gwent","0.6","1.0","8"
"Mixed","Hampshire","1.3","1.6","33"
"Mixed","Hertfordshire","2.1","2.5","43"
"Mixed","Humberside","0.6","0.9","12"
"Mixed","Kent","1.6","1.6","56"
"Mixed","Lancashire","1.9","1.1","52"
"Mixed","Leicestershire","2.2","2.0","39"
"Mixed","Lincolnshire","0.9","0.9","10"
"Mixed","London, City of","2.1","3.9","16"
"Mixed","Merseyside","2.1","1.5","71"
"Mixed","Metropolitan Police","3.5","5.0","1,034"
"Mixed","Norfolk","0.9","1.2","15"
"Mixed","North Wales","0.6","0.7","9"
"Mixed","North Yorkshire","0.9","0.9","12"
"Mixed","Northamptonshire","1.6","2.0","19"
"Mixed","Northumbria","1.1","0.9","33"
"Mixed","Nottinghamshire","1.9","2.8","35"
"Mixed","South Wales","1.4","1.4","42"
"Mixed","South Yorkshire","1.3","1.5","30"
"Mixed","Staffordshire","1.1","1.3","17"
"Mixed","Suffolk","2.3","1.7","27"
"Mixed","Surrey","2.1","2.1","38"
"Mixed","Sussex","1.5","1.9","38"
"Mixed","Thames Valley","2.3","2.5","95"
"Mixed","Warwickshire","0.9","1.5","7"
"Mixed","West Mercia","1.1","1.1","22"
"Mixed","West Midlands","2.5","3.5","159"
"Mixed","West Yorkshire","1.6","2.2","83"
"Mixed","Wiltshire","0.8","1.4","8"
"White","All - excluding BTP","93.1","86.0","111,695"
"White","Avon & Somerset","96.8","93.3","2,351"
"White","Bedfordshire","90.0","77.5","1,035"
"White","British Transport Police","89.9","N/A","2,479"
"White","Cambridgeshire","95.8","90.3","1,372"
"White","Cheshire","98.3","96.9","1,899"
"White","Cleveland","98.3","94.5","1,156"
"White","Cumbria","98.9","98.5","1,123"
"White","Derbyshire","96.6","93.3","1,702"
"White","Devon & Cornwall","98.4","97.5","2,338"
"White","Dorset","98.3","96.0","1,110"
"White","Durham","98.4","97.8","1,098"
"White","Dyfed-Powys","98.9","98.0","905"
"White","Essex","97.4","93.2","2,934"
"White","Gloucestershire","97.5","95.4","1,012"
"White","Greater Manchester","92.7","83.8","5,940"
"White","Gwent","97.7","96.1","1,240"
"White","Hampshire","96.9","93.3","2,518"
"White","Hertfordshire","95.5","87.6","1,902"
"White","Humberside","98.3","96.5","1,844"
"White","Kent","96.5","93.1","3,377"
"White","Lancashire","95.0","90.4","2,620"
"White","Leicestershire","92.2","78.4","1,644"
"White","Lincolnshire","97.9","97.6","1,064"
"White","London, City of","93.4","78.6","688"
"White","Merseyside","96.4","94.5","3,231"
"White","Metropolitan Police","85.0","59.8","25,384"
"White","Norfolk","97.9","96.5","1,550"
"White","North Wales","99.1","97.5","1,419"
"White","North Yorkshire","98.2","96.6","1,338"
"White","Northamptonshire","96.1","91.5","1,092"
"White","Northumbria","98.2","94.6","2,932"
"White","Nottinghamshire","94.6","88.8","1,806"
"White","South Wales","97.4","93.4","2,891"
"White","South Yorkshire","96.3","90.6","2,267"
"White","Staffordshire","97.2","94.1","1,518"
"White","Suffolk","96.8","95.2","1,119"
"White","Surrey","95.3","90.4","1,730"
"White","Sussex","97.4","93.7","2,426"
"White","Thames Valley","94.8","84.6","3,903"
"White","Warwickshire","95.5","92.7","769"
"White","West Mercia","97.6","96.2","1,926"
"White","West Midlands","89.0","70.1","5,734"
"White","West Yorkshire","94.1","81.8","4,826"
"White","Wiltshire","98.0","94.5","963"
"Other inc Chinese","All - excluding BTP","0.7","1.7","888"
"Other inc Chinese","Avon & Somerset","0.3","1.0","7"
"Other inc Chinese","Bedfordshire","0.0","1.4","0"
"Other inc Chinese","British Transport Police","0.5","N/A","14"
"Other inc Chinese","Cambridgeshire","0.3","1.6","4"
"Other inc Chinese","Cheshire","0.1","0.5","2"
"Other inc Chinese","Cleveland","0.2","0.8","2"
"Other inc Chinese","Cumbria","0.0","0.3","0"
"Other inc Chinese","Derbyshire","0.2","0.7","3"
"Other inc Chinese","Devon & Cornwall","0.2","0.6","5"
"Other inc Chinese","Dorset","0.1","0.8","1"
"Other inc Chinese","Durham","0.1","0.5","1"
"Other inc Chinese","Dyfed-Powys","0.1","0.4","1"
"Other inc Chinese","Essex","0.2","0.9","7"
"Other inc Chinese","Gloucestershire","0.2","0.5","2"
"Other inc Chinese","Greater Manchester","0.6","2.0","36"
"Other inc Chinese","Gwent","0.3","0.6","4"
"Other inc Chinese","Hampshire","0.6","1.1","16"
"Other inc Chinese","Hertfordshire","0.1","1.4","1"
"Other inc Chinese","Humberside","0.1","0.8","1"
"Other inc Chinese","Kent","0.3","0.9","9"
"Other inc Chinese","Lancashire","0.2","0.7","5"
"Other inc Chinese","Leicestershire","0.1","1.9","2"
"Other inc Chinese","Lincolnshire","0.2","0.4","2"
"Other inc Chinese","London, City of","0.3","5.7","2"
"Other inc Chinese","Merseyside","0.5","1.6","17"
"Other inc Chinese","Metropolitan Police","2.2","5.0","659"
"Other inc Chinese","Norfolk","0.2","0.6","3"
"Other inc Chinese","North Wales","0.1","0.6","1"
"Other inc Chinese","North Yorkshire","0.1","0.8","1"
"Other inc Chinese","Northamptonshire","0.1","0.8","1"
"Other inc Chinese","Northumbria","0.1","1.3","4"
"Other inc Chinese","Nottinghamshire","0.3","1.4","5"
"Other inc Chinese","South Wales","0.3","1.5","9"
"Other inc Chinese","South Yorkshire","0.1","1.8","2"
"Other inc Chinese","Staffordshire","0.0","0.7","0"
"Other inc Chinese","Suffolk","0.2","0.6","2"
"Other inc Chinese","Surrey","0.6","1.7","10"
"Other inc Chinese","Sussex","0.3","1.0","9"
"Other inc Chinese","Thames Valley","0.5","1.4","21"
"Other inc Chinese","Warwickshire","0.5","0.9","4"
