"Rank","Ethnicity","%","Number (FTE) of staff"
"Police Officer","Asian","2.9","3,475"
"Police Officer","Black","1.2","1,492"
"Police Officer","Mixed","2.1","2,473"
"Police Officer","White","93.1","111,695"
"Police Officer","Other inc Chinese","0.7","888"
"Police Officer","Unknown","N/A","3,148"
"Police Staff","Asian","3.3","2,047"
"Police Staff","Black","2.0","1,238"
"Police Staff","Mixed","1.1","677"
"Police Staff","White","92.9","57,000"
"Police Staff","Other inc Chinese","0.6","377"
"Police Staff","Unknown","N/A","3,074"
"Community Support Officer","Asian","4.5","417"
"Community Support Officer","Black","2.9","267"
"Community Support Officer","Mixed","1.5","141"
"Community Support Officer","White","90.0","8,361"
"Community Support Officer","Other inc Chinese","1.1","101"
"Community Support Officer","Unknown","N/A","260"
"Designated Officer","Asian","3.2","149"
"Designated Officer","Black","3.0","139"
"Designated Officer","Mixed","1.6","73"
"Designated Officer","White","91.4","4,233"
"Designated Officer","Other inc Chinese","0.8","37"
"Designated Officer","Unknown","N/A","262"
