"Time","Ethnicity","Rate per 1,000"
"2009/10","All","25"
"2009/10","Asian","39"
"2009/10","Bangladeshi","70"
"2009/10","Indian","24"
"2009/10","Pakistani","38"
"2009/10","Asian other","48"
"2009/10","Black","117"
"2009/10","Black African","73"
"2009/10","Black Caribbean","153"
"2009/10","Black other","199"
"2009/10","Mixed","35"
"2009/10","Mixed White/Asian","12"
"2009/10","Mixed White/Black African","28"
"2009/10","Mixed White/Black Caribbean","49"
"2009/10","Mixed other","44"
"2009/10","White","19"
"2009/10","White British","17"
"2009/10","White Irish","19"
"2009/10","White other","41"
"2009/10","Other inc Chinese","21"
"2009/10","Chinese","13"
"2009/10","Any other","27"
"2009/10","Unknown","N/A"
"2010/11","All","23"
"2010/11","Asian","37"
"2010/11","Bangladeshi","65"
"2010/11","Indian","21"
"2010/11","Pakistani","37"
"2010/11","Asian other","49"
"2010/11","Black","113"
"2010/11","Black African","70"
"2010/11","Black Caribbean","139"
"2010/11","Black other","205"
"2010/11","Mixed","31"
"2010/11","Mixed White/Asian","9"
"2010/11","Mixed White/Black African","24"
"2010/11","Mixed White/Black Caribbean","44"
"2010/11","Mixed other","39"
"2010/11","White","17"
"2010/11","White British","16"
"2010/11","White Irish","18"
"2010/11","White other","36"
"2010/11","Other inc Chinese","19"
"2010/11","Chinese","8"
"2010/11","Any other","27"
"2010/11","Unknown","N/A"
"2011/12","All","21"
"2011/12","Asian","32"
"2011/12","Bangladeshi","55"
"2011/12","Indian","17"
"2011/12","Pakistani","34"
"2011/12","Asian other","44"
"2011/12","Black","95"
"2011/12","Black African","60"
"2011/12","Black Caribbean","112"
"2011/12","Black other","187"
"2011/12","Mixed","29"
"2011/12","Mixed White/Asian","9"
"2011/12","Mixed White/Black African","21"
"2011/12","Mixed White/Black Caribbean","38"
"2011/12","Mixed other","42"
"2011/12","White","16"
"2011/12","White British","15"
"2011/12","White Irish","18"
"2011/12","White other","35"
"2011/12","Other inc Chinese","16"
"2011/12","Chinese","6"
"2011/12","Any other","24"
"2011/12","Unknown","N/A"
"2012/13","All","18"
"2012/13","Asian","24"
"2012/13","Bangladeshi","37"
"2012/13","Indian","12"
"2012/13","Pakistani","28"
"2012/13","Asian other","33"
"2012/13","Black","65"
"2012/13","Black African","40"
"2012/13","Black Caribbean","74"
"2012/13","Black other","135"
"2012/13","Mixed","23"
"2012/13","Mixed White/Asian","7"
"2012/13","Mixed White/Black African","17"
"2012/13","Mixed White/Black Caribbean","32"
"2012/13","Mixed other","34"
"2012/13","White","15"
"2012/13","White British","14"
"2012/13","White Irish","15"
"2012/13","White other","31"
"2012/13","Other inc Chinese","13"
"2012/13","Chinese","5"
"2012/13","Any other","18"
"2012/13","Unknown","N/A"
"2013/14","All","16"
"2013/14","Asian","19"
"2013/14","Bangladeshi","31"
"2013/14","Indian","8"
"2013/14","Pakistani","22"
"2013/14","Asian other","28"
"2013/14","Black","55"
"2013/14","Black African","34"
"2013/14","Black Caribbean","59"
"2013/14","Black other","117"
"2013/14","Mixed","20"
"2013/14","Mixed White/Asian","7"
"2013/14","Mixed White/Black African","15"
"2013/14","Mixed White/Black Caribbean","27"
"2013/14","Mixed other","28"
"2013/14","White","13"
"2013/14","White British","12"
"2013/14","White Irish","14"
"2013/14","White other","27"
"2013/14","Other inc Chinese","12"
"2013/14","Chinese","6"
"2013/14","Any other","17"
"2013/14","Unknown","N/A"
"2014/15","All","10"
"2014/15","Asian","11"
"2014/15","Bangladeshi","16"
"2014/15","Indian","5"
"2014/15","Pakistani","13"
"2014/15","Asian other","16"
"2014/15","Black","34"
"2014/15","Black African","22"
"2014/15","Black Caribbean","36"
"2014/15","Black other","74"
"2014/15","Mixed","13"
"2014/15","Mixed White/Asian","4"
"2014/15","Mixed White/Black African","10"
"2014/15","Mixed White/Black Caribbean","17"
"2014/15","Mixed other","18"
"2014/15","White","8"
"2014/15","White British","7"
"2014/15","White Irish","8"
"2014/15","White other","17"
"2014/15","Other inc Chinese","8"
"2014/15","Chinese","3"
"2014/15","Any other","11"
"2014/15","Unknown","N/A"
"2015/16","All","7"
"2015/16","Asian","9"
"2015/16","Bangladeshi","16"
"2015/16","Indian","4"
"2015/16","Pakistani","10"
"2015/16","Asian other","14"
"2015/16","Black","31"
"2015/16","Black African","20"
"2015/16","Black Caribbean","31"
"2015/16","Black other","71"
"2015/16","Mixed","10"
"2015/16","Mixed White/Asian","3"
"2015/16","Mixed White/Black African","8"
"2015/16","Mixed White/Black Caribbean","13"
"2015/16","Mixed other","15"
"2015/16","White","5"
"2015/16","White British","4"
"2015/16","White Irish","6"
"2015/16","White other","13"
"2015/16","Other inc Chinese","6"
"2015/16","Chinese","2"
"2015/16","Any other","9"
"2015/16","Unknown","N/A"
"2016/17","All","5"
"2016/17","Asian","8"
"2016/17","Bangladeshi","12"
"2016/17","Indian","3"
"2016/17","Pakistani","8"
"2016/17","Asian other","13"
"2016/17","Black","30"
"2016/17","Black African","19"
"2016/17","Black Caribbean","28"
"2016/17","Black other","71"
"2016/17","Mixed","9"
"2016/17","Mixed White/Asian","3"
"2016/17","Mixed White/Black African","7"
"2016/17","Mixed White/Black Caribbean","11"
"2016/17","Mixed other","13"
"2016/17","White","4"
"2016/17","White British","3"
"2016/17","White Irish","5"
"2016/17","White other","10"
"2016/17","Other inc Chinese","5"
"2016/17","Chinese","1"
"2016/17","Any other","7"
"2016/17","Unknown","N/A"
"2017/18","All","5"
"2017/18","Asian","8"
"2017/18","Bangladeshi","13"
"2017/18","Indian","3"
"2017/18","Pakistani","7"
"2017/18","Asian other","13"
"2017/18","Black","29"
"2017/18","Black African","19"
"2017/18","Black Caribbean","26"
"2017/18","Black other","73"
"2017/18","Mixed","9"
"2017/18","Mixed White/Asian","3"
"2017/18","Mixed White/Black African","7"
"2017/18","Mixed White/Black Caribbean","10"
"2017/18","Mixed other","14"
"2017/18","White","3"
"2017/18","White British","3"
"2017/18","White Irish","4"
"2017/18","White other","9"
"2017/18","Other inc Chinese","5"
"2017/18","Chinese","1"
"2017/18","Any other","7"
"2017/18","Unknown","N/A"
"2018/19","All","7"
"2018/19","Asian","11"
"2018/19","Bangladeshi","21"
"2018/19","Indian","4"
"2018/19","Pakistani","10"
"2018/19","Asian other","18"
"2018/19","Black","38"
"2018/19","Black African","24"
"2018/19","Black Caribbean","31"
"2018/19","Black other","100"
"2018/19","Mixed","11"
"2018/19","Mixed White/Asian","4"
"2018/19","Mixed White/Black African","9"
"2018/19","Mixed White/Black Caribbean","12"
"2018/19","Mixed other","18"
"2018/19","White","4"
"2018/19","White British","3"
"2018/19","White Irish","5"
"2018/19","White other","12"
"2018/19","Other inc Chinese","7"
"2018/19","Chinese","1"
"2018/19","Any other","11"
"2018/19","Unknown","N/A"
