"","All","","Asian","","Black","","Chinese","","Mixed","","White",""
"Local Authority ","%","Number","%","Number","%","Number","%","Number","%","Number","%","Number"
"Barking and Dagenham","83","2,824","92","633","85","937","100","7","83","221","76","959"
"Barnet","85","3,384","91","396","82","408","98","54","84","345","86","1,811"
"Barnsley","77","2,093","88","15","82","18","100","4","81","43","77","1,993"
"Bath and North East Somerset","78","1,478","82","23","75","9","57","4","73","73","78","1,355"
"Bedford","71","1,436","76","238","75","96","100","7","73","145","69","926"
"Bexley","82","2,609","93","234","88","536","97","29","79","183","79","1,565"
"Birmingham","77","12,070","82","4,643","79","1,620","95","62","76","1,007","73","3,988"
"Blackburn with Darwen","81","1,761","83","833","79","26","100","5","83","53","79","834"
"Blackpool","76","1,260","77","24","100","5","89","8","73","40","76","1,177"
"Bolton","80","3,004","85","757","71","161","92","12","88","135","78","1,892"
"Bournemouth","78","1,298","91","62","89","17","92","11","84","90","77","1,093"
"Bracknell Forest","77","1,062","93","80","87","40","100","3","82","68","75","858"
"Bradford","77","5,866","81","2,634","72","87","100","3","75","310","73","2,703"
"Brent","80","2,929","84","878","79","745","100","6","76","197","81","778"
"Brighton and Hove","78","2,048","86","79","77","41","100","11","78","231","77","1,621"
"Bristol, City of","75","3,498","74","284","74","414","88","23","74","270","76","2,457"
"Bromley","84","3,076","93","182","84","283","86","25","86","352","83","2,153"
"Buckinghamshire","79","4,853","84","865","79","131","90","18","80","357","78","3,403"
"Bury","79","1,812","80","270","79","44","80","4","80","94","79","1,368"
"Calderdale","76","2,005","79","319","88","14","50","1","68","64","76","1,590"
"Cambridgeshire","75","5,109","83","232","83","70","100","39","85","306","74","4,372"
"Camden","85","1,272","86","266","83","275","100","7","87","148","84","492"
"Central Bedfordshire","74","2,445","85","71","84","76","85","11","78","167","73","2,089"
"Cheshire East","82","3,311","87","62","89","17","87","13","81","128","82","3,057"
"Cheshire West and Chester","79","2,994","86","51","73","11","93","14","86","95","78","2,809"
"City of London","86","25","100","5","50","1","N/A","N/A","67","2","87","13"
"Cornwall","73","4,228","78","21","83","5","78","7","79","94","73","4,051"
"County Durham","80","4,437","94","33","75","12","77","10","87","62","80","4,286"
"Coventry","79","3,322","88","724","85","458","87","13","78","229","76","1,834"
"Croydon","81","3,593","89","633","79","1,072","100","23","82","547","78","1,212"
"Cumbria","78","3,987","89","32","86","6","86","12","83","52","78","3,835"
"Darlington","80","982","83","24","100","5","100","3","83","24","79","919"
"Derby","75","2,399","84","486","84","118","93","14","79","220","71","1,510"
"Derbyshire","77","6,332","91","85","74","23","81","21","75","170","77","5,978"
"Devon","76","5,951","91","39","81","13","79","11","82","146","76","5,660"
"Doncaster","75","2,613","78","81","62","28","94","15","73","76","75","2,378"
"Dorset","75","3,243","81","30","93","13","100","9","77","117","75","3,043"
"Dudley","73","2,676","78","337","80","75","80","8","77","177","72","2,031"
"Ealing","85","3,467","87","1,056","83","538","93","14","85","327","83","991"
"East Riding of Yorkshire","79","2,802","86","12","100","2","50","1","91","61","79","2,709"
"East Sussex","74","3,951","88","105","68","23","83","10","75","186","74","3,569"
"Enfield","79","3,509","90","352","81","906","96","23","79","341","76","1,610"
"Essex","78","12,622","93","413","87","462","92","67","79","619","77","10,800"
"Gateshead","84","1,761","79","30","94","32","77","10","79","26","84","1,608"
"Gloucestershire","77","4,966","86","172","83","75","85","11","74","239","76","4,390"
"Greenwich","83","2,690","89","218","88","1,024","88","37","85","285","77","1,041"
"Hackney","84","2,108","90","279","82","755","95","19","81","209","84","706"
"Halton","75","1,097","100","3","75","3","N/A","N/A","85","34","75","1,045"
"Hammersmith and Fulham","86","1,126","91","81","83","292","100","2","87","152","87","454"
"Hampshire","79","11,399","90","376","87","155","98","49","86","489","78","10,216"
"Haringey","82","2,506","92","164","79","656","87","34","85","274","81","1,197"
"Harrow","88","2,412","92","1,240","86","253","93","13","86","177","82","605"
"Hartlepool","79","892","96","26","100","2","50","2","92","11","78","849"
"Havering","82","2,439","91","186","87","304","94","16","86","151","80","1,741"
"Herefordshire, County of","79","1,492","100","7","67","2","100","3","72","31","79","1,435"
"Hertfordshire","80","10,939","90","941","82","486","88","59","83","823","79","8,452"
"Hillingdon","83","3,044","89","903","86","343","70","7","86","391","77","1,143"
"Hounslow","84","2,486","90","826","86","321","100","17","81","204","79","807"
"Isle of Wight","70","921","72","13","50","1","100","4","74","28","70","872"
"Isles of Scilly","82","28","N/A","N/A","N/A","N/A","N/A","N/A","100","1","82","27"
"Islington","81","1,505","83","124","80","350","100","10","85","246","79","668"
