"Ethnicity","Household type","%"
"Other","All full-time students","2.3"
"Other","Any other household type","7.3"
"Other","Cohab, Dependent children","2.4"
"Other","Cohab, no children","2.7"
"Other","Cohab, non-dependent children","0.2"
"Other","Lone parent, Dependent children","7.8"
"Other","Lone parent, non-dependent children","2.8"
"Other","Married, Dependent children","25.5"
"Other","Married, no children","7.3"
"Other","Married, non-dependent children","4.2"
"Other","Other, All pensioners","0.1"
"Other","Other, with dependent children","5.4"
"Other","Pensioner couple","1.4"
"Other","Single non-pensioner","27.7"
"Other","Single pensioner","3.0"
"Arab","All full-time students","4.0"
"Arab","Any other household type","5.7"
"Arab","Cohab, Dependent children","1.9"
"Arab","Cohab, no children","2.0"
"Arab","Cohab, non-dependent children","0.1"
"Arab","Lone parent, Dependent children","7.4"
"Arab","Lone parent, non-dependent children","2.3"
"Arab","Married, Dependent children","29.9"
"Arab","Married, no children","6.7"
"Arab","Married, non-dependent children","3.1"
"Arab","Other, All pensioners","0.1"
"Arab","Other, with dependent children","4.6"
"Arab","Pensioner couple","1.1"
"Arab","Single non-pensioner","29.1"
"Arab","Single pensioner","2.2"
"Any other","All full-time students","1.2"
"Any other","Any other household type","8.4"
"Any other","Cohab, Dependent children","2.7"
"Any other","Cohab, no children","3.1"
"Any other","Cohab, non-dependent children","0.2"
"Any other","Lone parent, Dependent children","8.0"
"Any other","Lone parent, non-dependent children","3.1"
"Any other","Married, Dependent children","22.7"
"Any other","Married, no children","7.7"
"Any other","Married, non-dependent children","5.0"
"Any other","Other, All pensioners","0.1"
"Any other","Other, with dependent children","5.9"
"Any other","Pensioner couple","1.7"
"Any other","Single non-pensioner","26.8"
"Any other","Single pensioner","3.5"
