"","Asian","Black","Mixed","White","Other"
"Household type","%","%","%","%","%"
"Single pensioner","1.2","1.4","0.4","96.7","0.2"
"Single non-pensioner","4.2","4.6","2.2","87.6","1.4"
"Pensioner couple","1.3","0.6","0.3","97.7","0.2"
"Married, no children","3.8","1.0","0.6","94.1","0.5"
"Married, Dependent children","10.8","3.1","1.0","83.6","1.5"
"Married, non-dependent children","6.4","1.4","0.5","91.0","0.6"
"Cohab, no children","1.8","1.4","1.4","94.9","0.4"
"Cohab, Dependent children","1.9","3.1","1.6","92.9","0.5"
"Cohab, non-dependent children","1.7","2.3","1.0","94.6","0.3"
"Lone parent, Dependent children","4.2","8.3","2.9","83.7","0.9"
"Lone parent, non-dependent children","4.7","4.9","1.1","88.7","0.7"
"Other, with dependent children","21.2","8.1","1.9","67.0","1.8"
"All full-time students","20.6","5.5","3.3","67.2","3.5"
"Other, All pensioners","1.7","1.5","0.7","95.8","0.3"
"Any other household type","10.4","4.4","2.1","81.7","1.4"
