"Birthplace","Ethnicity","%"
"Non-UK","All","13.4"
"Non-UK","Asian","58.0"
"Non-UK","Bangladeshi","48.1"
"Non-UK","Chinese","76.3"
"Non-UK","Indian","57.1"
"Non-UK","Pakistani","43.9"
"Non-UK","Asian other","75.2"
"Non-UK","Black","53.2"
"Non-UK","Black African","67.3"
"Non-UK","Black Caribbean","39.9"
"Non-UK","Black other","31.6"
"Non-UK","Mixed","19.5"
"Non-UK","Mixed White/Asian","20.8"
"Non-UK","Mixed White/Black African","31.8"
"Non-UK","Mixed White/Black Caribbean","6.0"
"Non-UK","Mixed other","30.9"
"Non-UK","White","7.1"
"Non-UK","White British","2.1"
"Non-UK","White Irish","66.6"
"Non-UK","White Gypsy/Traveller","12.2"
"Non-UK","White other","85.5"
"Non-UK","Other","70.1"
"Non-UK","Arab","72.4"
"Non-UK","Any other","68.6"
"UK","All","86.6"
"UK","Asian","42.0"
"UK","Bangladeshi","51.9"
"UK","Chinese","23.7"
"UK","Indian","42.9"
"UK","Pakistani","56.1"
"UK","Asian other","24.8"
"UK","Black","46.8"
"UK","Black African","32.7"
"UK","Black Caribbean","60.1"
"UK","Black other","68.4"
"UK","Mixed","80.5"
"UK","Mixed White/Asian","79.2"
"UK","Mixed White/Black African","68.2"
"UK","Mixed White/Black Caribbean","94.0"
"UK","Mixed other","69.1"
"UK","White","92.9"
"UK","White British","97.9"
"UK","White Irish","33.4"
"UK","White Gypsy/Traveller","87.8"
"UK","White other","14.5"
"UK","Other","29.9"
"UK","Arab","27.6"
"UK","Any other","31.4"
