"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Gender type","Age","Age Bracket Type","Highest qualification held","Qualification_type","Value_type","Value","Numerator","Denominator","lower 95%","upper 95%"
"% of individuals unemployed","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","3.40%","178787","5258672","3.20%","3.60%"
"% of individuals unemployed","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","8.50%","5581","65297","2.90%","14.20%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","6.00%","29118","485907","4.30%","7.70%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","10.00%","17187","172195","6.30%","13.70%"
"% of individuals unemployed","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","6.80%","11359","167569","3.70%","9.80%"
"% of individuals unemployed","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","7.10%","63245","890968","5.70%","8.50%"
"% of individuals unemployed","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 4 and above","National Qualifications Framework (NQF) level","%","3.90%","242032","6153963","3.70%","4.20%"
"% of individuals unemployed","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","5.10%","162877","3197019","4.70%","5.40%"
"% of individuals unemployed","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","8.20%","2156","26185.5","-0.20%","16.70%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","9.30%","10606","114614.5","5%","13.50%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","17.60%","9319","52958.5","9.10%","26.10%"
"% of individuals unemployed","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","7.80%","2291","29417.5","-0.30%","15.80%"
"% of individuals unemployed","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","10.90%","24372","223176","7.60%","14.20%"
"% of individuals unemployed","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 3","National Qualifications Framework (NQF) level","%","5.50%","187249","3421565","5.10%","5.80%"
"% of individuals unemployed","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","7.30%","212046","2892278","6.90%","7.80%"
"% of individuals unemployed","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","15.40%","4506","29181.5","4.90%","26%"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","11.80%","15124","128664.5","7.30%","16.20%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","17.00%","10420","61185.5","9%","25%"
"% of individuals unemployed","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","12.80%","3771","29454.5","2.90%","22.70%"
"% of individuals unemployed","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","13.60%","33821","248486","10.10%","17.10%"
"% of individuals unemployed","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Level 2","National Qualifications Framework (NQF) level","%","7.80%","246112","3141463","7.40%","8.30%"
"% of individuals unemployed","White","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","10.70%","209919","1956937","10.10%","11.40%"
"% of individuals unemployed","Mixed","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Asian or Asian British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","13.50%","12136","90213","8%","18.90%"
"% of individuals unemployed","Black or Black British","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","20.10%","10024","49992","10.40%","29.70%"
"% of individuals unemployed","Other","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","Other than White ","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","15.50%","27478","176954","11.30%","19.80%"
"% of individuals unemployed","Unreported","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","?","?","?","?","?"
"% of individuals unemployed","All","ONS 5+1","2012","Year","England, Wales and Scotland ","ONS geography code","Male","Male/Female/All","16-64","Labour force age brackets","Below Level 2","National Qualifications Framework (NQF) level","%","11.10%","237397","2133891","10.50%","11.70%"
