"Ethnicity","Highest qualification held",""
"All","All","3%"
"All","Level 4 and above","2%"
"All","Level 3","3%"
"All","Level 2","3%"
"All","Below Level 2","4%"
"All","Other qualifications","3%"
"All","No qualifications","3%"
"Asian","All","4%"
"Asian","Level 4 and above","4%"
"Asian","Level 3","6%"
"Asian","Level 2","2%"
"Asian","Below Level 2","7%"
"Asian","Other qualifications","4%"
"Asian","No qualifications","3%"
"Black","All","5%"
"Black","Level 4 and above","4%"
"Black","Level 3","5%"
"Black","Level 2","6%"
"Black","Below Level 2","6%"
"Black","Other qualifications","3%"
"Black","No qualifications","7%"
"Mixed","All","4%"
"Mixed","Level 4 and above","3%"
"Mixed","Level 3","5%"
"Mixed","Level 2","4%"
"Mixed","Below Level 2","?"
"Mixed","Other qualifications","?"
"Mixed","No qualifications","?"
"White","All","2%"
"White","Level 4 and above","2%"
"White","Level 3","3%"
"White","Level 2","3%"
"White","Below Level 2","4%"
"White","Other qualifications","3%"
"White","No qualifications","3%"
"Other","All","5%"
"Other","Level 4 and above","4%"
"Other","Level 3","7%"
"Other","Level 2","?"
"Other","Below Level 2","?"
"Other","Other qualifications","3%"
"Other","No qualifications","3%"
