"","Boys","","Girls",""
"Ethnicity","Year 1","Year 2","Year 1","Year 2"
"All","78","89","85","94"
"Asian","82","91","88","95"
"Bangladeshi","80","89","88","94"
"Indian","88","94","93","97"
"Pakistani","78","90","86","94"
"Asian other","82","91","88","95"
"Black","80","89","87","94"
"Black African","81","90","88","94"
"Black Caribbean","75","87","84","94"
"Black other","78","88","86","94"
"Chinese","89","94","94","97"
"Mixed","80","91","87","95"
"Mixed White/Asian","83","93","90","96"
"Mixed White/Black African","81","91","87","94"
"Mixed White/Black Caribbean","74","87","84","93"
"Mixed other","81","91","88","95"
"White","78","89","85","94"
"White British","78","90","85","94"
"White Irish","79","89","86","94"
"Gypsy/Roma","39","58","46","66"
"Irish Traveller","38","53","46","64"
"White other","78","88","85","92"
"Other","75","87","83","91"
"Unknown","60","71","65","76"
