"Ethnicity","Year 1","Year 2"
"All","82","91"
"Asian","85","93"
"Bangladeshi","84","92"
"Indian","90","95"
"Pakistani","82","92"
"Asian other","85","93"
"Black","83","91"
"Black African","85","92"
"Black Caribbean","80","90"
"Black other","82","91"
"Chinese","91","96"
"Mixed","84","92"
"Mixed White/Asian","87","94"
"Mixed White/Black African","84","93"
"Mixed White/Black Caribbean","79","90"
"Mixed other","84","93"
"White","82","91"
"White British","82","92"
"White Irish","82","92"
"Gypsy/Roma","43","62"
"Irish Traveller","42","59"
"White other","81","90"
"Other","79","88"
"Unknown","63","73"
