"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age Bracket","Age Bracket Type","Denominator"," Numerator ","Value"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","288,230","6.6"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","198,310","4.5"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","50,220","1.1"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","90,410","2.1"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","321,540","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2002/03","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,703,310","3,754,600","85.7"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","328,880","6.4"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","228,550","4.4"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","66,730","1.3"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","99,110","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","281,060","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2003/04","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,437,420","4,433,090","86.0"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","349,790","6.6"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","257,440","4.8"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","78,290","1.5"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","107,760","2.0"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","240,040","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2004/05","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","5,563,150","4,529,830","85.1"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","331,740","7.0"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","250,040","5.3"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","78,360","1.7"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","95,650","2.0"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","169,950","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2005/06","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,893,920","3,968,180","84.0"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","297,530","7.3"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","230,010","5.6"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","77,000","1.9"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","84,790","2.1"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","131,450","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2006/07","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,202,780","3,382,000","83.1"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","318,370","7.5"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","246,680","5.8"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","83,390","2.0"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","82,010","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","133,570","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2007/08","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,360,750","3,496,730","82.7"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","373,890","7.9"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","274,370","5.8"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","93,630","2.0"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","89,640","1.9"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","131,650","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2008/09","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,837,100","3,873,920","82.3"
"Percentage of adult education students in each ethnic group","Asian","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","359,290","7.9"
"Percentage of adult education students in each ethnic group","Black","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","266,330","5.9"
"Percentage of adult education students in each ethnic group","Mixed","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","95,980","2.1"
"Percentage of adult education students in each ethnic group","Other Ethnic group","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","90,010","2.0"
"Percentage of adult education students in each ethnic group","Unknown ethnicity","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","107,140","n/a"
"Percentage of adult education students in each ethnic group","White","ONS 5+1 2011","2009/10","Academic Year","England","Country","K02000001","All","16+","Labour force age brackets","4,635,510","3,716,760","82.1"
