"SEN","Ethnicity","Score","Pupils"
"No identified SEN","All","54.5","487,466"
"No identified SEN","Asian","58.5","57,345"
"No identified SEN","Black","53.4","29,975"
"No identified SEN","Chinese","70.5","1,969"
"No identified SEN","Mixed","54.9","26,946"
"No identified SEN","White","53.9","353,596"
"No identified SEN","Other","54.1","10,050"
"No identified SEN","Unknown","51.9","7,585"
"Any SEN","All","31.1","87,210"
"Any SEN","Asian","30.8","6,358"
"Any SEN","Black","29.7","4,936"
"Any SEN","Chinese","48.4","132"
"Any SEN","Mixed","31.5","4,817"
"Any SEN","White","31.2","68,362"
"Any SEN","Other","32.0","1,214"
"Any SEN","Unknown","30.8","1,391"
"SEN Support","All","36.7","63,926"
"SEN Support","Asian","37.4","4,517"
"SEN Support","Black","35.9","3,496"
"SEN Support","Chinese","55.8","92"
"SEN Support","Mixed","37.2","3,505"
"SEN Support","White","36.7","50,361"
"SEN Support","Other","37.1","905"
"SEN Support","Unknown","35.2","1,050"
"SEN with a statement or EHC plan","All","15.7","23,284"
"SEN with a statement or EHC plan","Asian","14.7","1,841"
"SEN with a statement or EHC plan","Black","14.5","1,440"
"SEN with a statement or EHC plan","Chinese","31.5","40"
"SEN with a statement or EHC plan","Mixed","16.0","1,312"
"SEN with a statement or EHC plan","White","15.8","18,001"
"SEN with a statement or EHC plan","Other","17.2","309"
"SEN with a statement or EHC plan","Unknown","17.2","341"
