"Ethnicity","Geography","Score","Pupils"
"All","All - England","50.9","575,863"
"All","Barking and Dagenham","50.5","2,805"
"All","Barnet","60.8","4,100"
"All","Barnsley","46.3","2,345"
"All","Bath and North East Somerset","55.0","2,198"
"All","Bedford","48.6","1,989"
"All","Bexley","54.0","3,262"
"All","Birmingham","50.1","14,036"
"All","Blackburn with Darwen","50.7","2,052"
"All","Blackpool","41.7","1,296"
"All","Bolton","48.9","3,648"
"All","Bournemouth, Christchurch and Poole","54.2","3,665"
"All","Bracknell Forest","52.8","1,227"
"All","Bradford","45.9","6,658"
"All","Brent","53.7","3,160"
"All","Brighton and Hove","52.5","2,225"
"All","Bristol, City of","49.6","3,694"
"All","Bromley","55.2","3,356"
"All","Buckinghamshire","59.0","6,070"
"All","Bury","49.4","2,229"
"All","Calderdale","52.2","2,757"
"All","Cambridgeshire","52.7","6,039"
"All","Camden","53.1","1,644"
"All","Central Bedfordshire","49.2","2,790"
"All","Cheshire East","52.3","3,988"
"All","Cheshire West and Chester","51.6","3,743"
"All","Cornwall","50.1","5,399"
"All","County Durham","50.1","5,269"
"All","Coventry","48.0","3,827"
"All","Croydon","50.0","3,831"
"All","Cumbria","49.4","5,070"
"All","Darlington","50.7","1,141"
"All","Derby","46.4","3,008"
"All","Derbyshire","49.9","7,625"
"All","Devon","51.1","7,064"
"All","Doncaster","47.0","3,149"
"All","Dorset","50.2","3,636"
"All","Dudley","47.6","3,514"
"All","Ealing","53.6","3,276"
"All","East Midlands","49.6","49,843"
"All","East Riding of Yorkshire","51.4","3,259"
"All","East Sussex","49.3","4,834"
"All","East of England","51.0","64,647"
"All","Enfield","51.1","3,783"
"All","Essex","50.4","15,139"
"All","Gateshead","51.3","1,971"
"All","Gloucestershire","54.3","6,388"
"All","Greenwich","51.2","2,695"
"All","Hackney","54.0","2,331"
"All","Halton","47.2","1,488"
"All","Hammersmith and Fulham","58.1","1,458"
"All","Hampshire","51.8","13,553"
"All","Haringey","51.4","2,514"
"All","Harrow","54.8","2,521"
"All","Hartlepool","47.4","1,070"
"All","Havering","52.2","2,882"
"All","Herefordshire, County of","50.6","1,762"
"All","Hertfordshire","54.8","13,487"
"All","Hillingdon","52.8","3,420"
"All","Hounslow","53.9","2,916"
"All","Inner London","53.4","28,891"
"All","Isle of Wight","47.0","1,258"
"All","Isles of Scilly","!","14"
"All","Islington","52.2","1,493"
"All","Kensington and Chelsea","57.9","896"
"All","Kent","51.4","16,779"
"All","Kingston upon Hull, City of","47.5","2,787"
"All","Kingston upon Thames","61.4","1,828"
"All","Kirklees","49.5","4,858"
"All","Knowsley","37.8","1,151"
"All","Lambeth","51.3","2,264"
"All","Lancashire","50.4","13,085"
"All","Leeds","49.2","8,584"
"All","Leicester","47.2","4,070"
"All","Leicestershire","50.3","7,412"
"All","Lewisham","49.1","2,340"
"All","Lincolnshire","50.5","7,860"
"All","Liverpool","47.4","5,028"
"All","London","54.1","85,646"
"All","Luton","47.1","2,832"
"All","Manchester","47.7","5,743"
"All","Medway","49.4","3,169"
"All","Merton","53.2","1,555"
"All","Middlesbrough","46.7","1,547"
"All","Milton Keynes","48.7","3,128"
"All","Newcastle upon Tyne","47.4","2,607"
"All","Newham","54.5","4,311"
"All","Norfolk","49.6","8,197"
"All","North East","49.2","27,055"
"All","North East Lincolnshire","45.8","1,827"
"All","North Lincolnshire","47.6","1,899"
"All","North Northamptonshire","48.1","3,753"
"All","North Somerset","52.3","2,239"
"All","North Tyneside","50.3","2,098"
"All","North West","49.6","79,949"
"All","North Yorkshire","52.5","6,261"
"All","Northumberland","49.8","3,164"
"All","Nottingham","45.8","2,932"
"All","Nottinghamshire","51.1","8,236"
"All","Oldham","46.2","3,231"
"All","Outer London","54.5","56,755"
"All","Oxfordshire","51.0","6,566"
"All","Peterborough","46.3","2,564"
"All","Plymouth","50.5","2,717"
"All","Portsmouth","46.3","1,888"
"All","Reading","55.4","1,397"
"All","Redbridge","56.8","3,874"
"All","Redcar and Cleveland","48.8","1,567"
"All","Richmond upon Thames","58.1","1,736"
"All","Rochdale","46.2","2,657"
"All","Rotherham","48.7","3,239"
"All","Rutland","55.3","504"
"All","Salford","45.1","2,383"
"All","Sandwell","46.9","4,028"
"All","Sefton","49.4","2,906"
"All","Sheffield","48.1","5,640"
"All","Shropshire","49.9","3,013"
"All","Slough","56.1","2,113"
"All","Solihull","51.0","3,157"
"All","Somerset","49.4","5,095"
"All","South East","52.1","90,615"
"All","South Gloucestershire","50.9","2,640"
"All","South Tyneside","46.0","1,618"
"All","South West","51.4","53,700"
"All","Southampton","46.2","2,174"
"All","Southend-on-Sea","57.6","2,188"
"All","Southwark","55.0","3,002"
"All","St. Helens","48.2","1,892"
"All","Staffordshire","49.3","8,897"
"All","Stockport","52.7","2,869"
"All","Stockton-on-Tees","50.4","2,186"
"All","Stoke-on-Trent","45.1","2,672"
"All","Suffolk","48.8","7,474"
"All","Sunderland","49.2","2,817"
"All","Surrey","54.3","10,875"
"All","Sutton","62.0","3,048"
"All","Swindon","49.3","2,313"
"All","Tameside","48.5","2,635"
"All","Telford and Wrekin","50.2","2,174"
"All","Thurrock","49.4","1,948"
"All","Torbay","51.3","1,638"
"All","Tower Hamlets","51.7","2,967"
"All","Trafford","60.2","3,168"
"All","Wakefield","50.1","3,710"
"All","Walsall","47.5","3,491"
"All","Waltham Forest","51.5","2,707"
"All","Wandsworth","52.2","1,919"
"All","Warrington","51.8","2,454"
"All","Warwickshire","52.9","6,225"
"All","West Berkshire","52.4","1,776"
"All","West Midlands","49.5","65,625"
"All","West Northamptonshire","51.1","4,443"
"All","West Sussex","51.6","8,184"
"All","Westminster","57.6","1,752"
"All","Wigan","49.7","3,646"
"All","Wiltshire","51.4","5,000"
"All","Windsor and Maidenhead","53.8","1,585"
"All","Wirral","51.9","3,587"
"All","Wokingham","57.6","1,814"
"All","Wolverhampton","50.0","3,100"
"All","Worcestershire","49.6","5,729"
"All","York","55.3","1,810"
"All","Yorkshire and The Humber","49.1","58,783"
"Asian","All - England","55.8","63,704"
"Asian","Barking and Dagenham","57.7","639"
"Asian","Barnet","71.4","603"
"Asian","Barnsley","56.2","11"
"Asian","Bath and North East Somerset","66.8","39"
"Asian","Bedford","50.2","299"
"Asian","Bexley","66.3","278"
"Asian","Birmingham","52.3","5,611"
"Asian","Blackburn with Darwen","55.9","891"
"Asian","Blackpool","60.7","30"
"Asian","Bolton","54.5","863"
"Asian","Bournemouth, Christchurch and Poole","64.3","100"
"Asian","Bracknell Forest","61.8","62"
"Asian","Bradford","48.0","2,978"
"Asian","Brent","56.2","959"
"Asian","Brighton and Hove","56.5","81"
"Asian","Bristol, City of","53.2","300"
"Asian","Bromley","69.1","219"
"Asian","Buckinghamshire","62.0","1,300"
"Asian","Bury","50.8","336"
"Asian","Calderdale","53.9","477"
