"","Free school meals","","No free school meals",""
"Ethnicity","Score","Pupils","Score","Pupils"
"All","39.1","107,838","53.6","468,025"
"Asian","48.0","12,664","57.7","51,040"
"Bangladeshi","51.5","3,141","57.5","7,106"
"Indian","51.6","1,405","63.0","15,496"
"Pakistani","45.3","6,287","52.2","19,464"
"Asian other","48.6","1,831","60.7","8,974"
"Black","44.7","10,197","52.2","24,714"
"Black African","47.5","6,478","54.1","16,762"
"Black Caribbean","38.3","2,375","46.8","4,767"
"Black other","42.7","1,344","50.7","3,185"
"Chinese","66.5","157","69.4","1,944"
"Mixed","40.9","8,077","54.9","23,695"
"Mixed White/Asian","42.5","1,474","59.6","6,057"
"Mixed White/Black African","42.5","1,089","53.5","3,004"
"Mixed White/Black Caribbean","37.0","2,746","48.8","5,650"
"Mixed other","43.2","2,768","56.0","8,984"
"White","36.1","71,165","53.1","350,830"
"White British","35.8","66,121","53.1","320,448"
"White Irish","37.4","261","58.9","1,460"
"Gypsy/Roma","19.6","615","25.1","810"
"Irish Traveller","23.8","97","39.8","74"
"White other","43.2","4,071","53.4","28,038"
"Other","46.0","3,555","54.3","7,710"
"Unknown","39.2","2,023","46.6","8,092"
