"Measure","Year","Ethnicity","Ethnicity_type","Numerator","Denominator","Crude Rate","Standardised Rate","Confidence Interval"
"Number of detentions per 100000 population","2016/17","All","ONS 16+1","41334","53012456","78","NA","NA"
"Number of detentions per 100000 population","2016/17","Any other","ONS 16+1","1452","327433","443.5","436.2","26.2"
"Number of detentions per 100000 population","2016/17","White British","ONS 16+1","27715","42279236","65.6","64.3","0.8"
"Number of detentions per 100000 population","2016/17","White Irish","ONS 16+1","432","517001","83.6","69.5","7.1"
"Number of detentions per 100000 population","2016/17","White other","ONS 16+1","2857","2430010","117.6","132.8","5.8"
"Number of detentions per 100000 population","2016/17","Gypsy or Irish Traveller","ONS 16+1","NA","54895","NA","NA","NA"
"Number of detentions per 100000 population","2016/17","Asian","ONS 5+1","2928","3763900","77.8","82.1","3.4"
"Number of detentions per 100000 population","2016/17","Mixed White/Black Caribbean","ONS 16+1","417","415616","100.3","157.4","19.4"
"Number of detentions per 100000 population","2016/17","Mixed White/Black African","ONS 16+1","189","161550","117","177.8","35.9"
"Number of detentions per 100000 population","2016/17","Mixed White/Asian","ONS 16+1","167","332708","50.2","78.8","15.3"
"Number of detentions per 100000 population","2016/17","Mixed other","ONS 16+1","451","283005","159.4","230.9","26.9"
"Number of detentions per 100000 population","2016/17","Black","ONS 5+1","4549","1846614","246.3","272.1","8.7"
"Number of detentions per 100000 population","2016/17","Indian","ONS 16+1","712","1395702","51","53.2","4.2"
"Number of detentions per 100000 population","2016/17","Pakistani","ONS 16+1","941","1112282","84.6","97.4","7.3"
"Number of detentions per 100000 population","2016/17","Bangladeshi","ONS 16+1","409","436514","93.7","107.6","12.8"
"Number of detentions per 100000 population","2016/17","Asian other","ONS 16+1","866","819402","105.7","109.3","8.9"
"Number of detentions per 100000 population","2016/17","Mixed","ONS 5+1","1224","1192879","102.6","157","11.3"
"Number of detentions per 100000 population","2016/17","Black African","ONS 16+1","1612","977741","164.9","176.7","11.2"
"Number of detentions per 100000 population","2016/17","Black Caribbean","ONS 16+1","1455","591016","246.2","249.6","13"
"Number of detentions per 100000 population","2016/17","Black other","ONS 16+1","1482","277857","533.4","690.6","42.4"
"Number of detentions per 100000 population","2016/17","Other","ONS 5+1","1629","927921","175.6","179.6","10.6"
"Number of detentions per 100000 population","2016/17","Chinese","ONS 16+1","177","379503","46.6","47.8","8.5"
"Number of detentions per 100000 population","2016/17","White","ONS 5+1","31004","45281142","68.5","67","0.8"
"Number of detentions per 100000 population","2016/17","Arab","ONS 16+1","NA","220985","NA","NA","NA"
"Number of detentions per 100000 population","2017/18","All","ONS 16+1","43966","53012456","82.9","NA","NA"
"Number of detentions per 100000 population","2017/18","Any other","ONS 16+1","1361","327433","415.7","432.9","27.2"
"Number of detentions per 100000 population","2017/18","White British","ONS 16+1","29689","42279236","70.2","69","0.8"
"Number of detentions per 100000 population","2017/18","White Irish","ONS 16+1","454","517001","87.8","74.7","7.4"
"Number of detentions per 100000 population","2017/18","White other","ONS 16+1","3072","2430010","126.4","138.9","5.8"
"Number of detentions per 100000 population","2017/18","Gypsy or Irish Traveller","ONS 16+1","NA","54895","NA","NA","NA"
"Number of detentions per 100000 population","2017/18","Asian","ONS 5+1","3172","3763900","84.3","91.9","3.6"
"Number of detentions per 100000 population","2017/18","Mixed White/Black Caribbean","ONS 16+1","413","415616","99.4","149.3","18.6"
"Number of detentions per 100000 population","2017/18","Mixed White/Black African","ONS 16+1","189","161550","117","193.5","37.7"
"Number of detentions per 100000 population","2017/18","Mixed White/Asian","ONS 16+1","175","332708","52.6","77.6","14.5"
"Number of detentions per 100000 population","2017/18","Mixed other","ONS 16+1","485","283005","171.4","236.4","26.5"
"Number of detentions per 100000 population","2017/18","Black","ONS 5+1","4804","1846614","260.2","288.7","8.9"
"Number of detentions per 100000 population","2017/18","Indian","ONS 16+1","715","1395702","51.2","55.7","4.4"
"Number of detentions per 100000 population","2017/18","Pakistani","ONS 16+1","1079","1112282","97","112.6","7.9"
"Number of detentions per 100000 population","2017/18","Bangladeshi","ONS 16+1","448","436514","102.6","129.7","15.1"
"Number of detentions per 100000 population","2017/18","Asian other","ONS 16+1","930","819402","113.5","124.5","9.8"
"Number of detentions per 100000 population","2017/18","Mixed","ONS 5+1","1262","1192879","105.8","158.4","11.3"
"Number of detentions per 100000 population","2017/18","Black African","ONS 16+1","1745","977741","178.5","205.6","13.2"
"Number of detentions per 100000 population","2017/18","Black Caribbean","ONS 16+1","1494","591016","252.8","254.3","13.1"
"Number of detentions per 100000 population","2017/18","Black other","ONS 16+1","1565","277857","563.2","745.9","44.9"
"Number of detentions per 100000 population","2017/18","Other","ONS 5+1","1513","927921","163.1","180.3","11.2"
"Number of detentions per 100000 population","2017/18","Chinese","ONS 16+1","152","379503","40.1","46.3","9"
"Number of detentions per 100000 population","2017/18","White","ONS 5+1","33215","45281142","73.4","71.8","0.8"
"Number of detentions per 100000 population","2017/18","Arab","ONS 16+1","NA","220985","NA","NA","NA"
