"","2017/18","2018/19","2019/20"
"Ethnicity","Number per 100,000","Number per 100,000","Number per 100,000"
"All","3,699","4,013","4,173"
"Asian","3,193","3,458","3,636"
"Bangladeshi","3,887","4,234","4,668"
"Indian","2,369","2,544","2,702"
"Pakistani","3,825","4,268","4,459"
"Asian other","3,936","4,146","4,236"
"Black","4,555","4,832","5,098"
"Black African","3,002","3,261","3,485"
"Black Caribbean","4,669","4,891","5,099"
"Black other","10,843","11,580","12,440"
"Mixed","4,800","7,950","7,147"
"Mixed White/Asian","2,682","3,145","3,483"
"Mixed White/Black African","4,011","4,602","5,098"
"Mixed White/Black Caribbean","4,120","4,601","5,013"
"Mixed other","8,329","18,758","14,836"
"White","3,704","4,010","4,180"
"White British","3,709","4,013","4,166"
"White Irish","3,250","3,620","3,904"
"White other","5,118","5,621","6,361"
"Other inc Chinese","7,380","7,327","7,402"
"Chinese","1,430","1,612","1,691"
"Any other","18,240","17,966","18,098"
