"Time","Ethnicity","Number per 100,000"
"2017/18","All","3,699"
"2017/18","Asian","3,193"
"2017/18","Bangladeshi","3,887"
"2017/18","Indian","2,369"
"2017/18","Pakistani","3,825"
"2017/18","Asian other","3,936"
"2017/18","Black","4,555"
"2017/18","Black African","3,002"
"2017/18","Black Caribbean","4,669"
"2017/18","Black other","10,843"
"2017/18","Mixed","4,800"
"2017/18","Mixed White/Asian","2,682"
"2017/18","Mixed White/Black African","4,011"
"2017/18","Mixed White/Black Caribbean","4,120"
"2017/18","Mixed other","8,329"
"2017/18","White","3,704"
"2017/18","White British","3,709"
"2017/18","White Irish","3,250"
"2017/18","White other","5,118"
"2017/18","Other inc Chinese","7,380"
"2017/18","Chinese","1,430"
"2017/18","Any other","18,240"
"2018/19","All","4,013"
"2018/19","Asian","3,458"
"2018/19","Bangladeshi","4,234"
"2018/19","Indian","2,544"
"2018/19","Pakistani","4,268"
"2018/19","Asian other","4,146"
"2018/19","Black","4,832"
"2018/19","Black African","3,261"
"2018/19","Black Caribbean","4,891"
"2018/19","Black other","11,580"
"2018/19","Mixed","7,950"
"2018/19","Mixed White/Asian","3,145"
"2018/19","Mixed White/Black African","4,602"
"2018/19","Mixed White/Black Caribbean","4,601"
"2018/19","Mixed other","18,758"
"2018/19","White","4,010"
"2018/19","White British","4,013"
"2018/19","White Irish","3,620"
"2018/19","White other","5,621"
"2018/19","Other inc Chinese","7,327"
"2018/19","Chinese","1,612"
"2018/19","Any other","17,966"
"2019/20","All","4,173"
"2019/20","Asian","3,636"
"2019/20","Bangladeshi","4,668"
"2019/20","Indian","2,702"
"2019/20","Pakistani","4,459"
"2019/20","Asian other","4,236"
"2019/20","Black","5,098"
"2019/20","Black African","3,485"
"2019/20","Black Caribbean","5,099"
"2019/20","Black other","12,440"
"2019/20","Mixed","7,147"
"2019/20","Mixed White/Asian","3,483"
"2019/20","Mixed White/Black African","5,098"
"2019/20","Mixed White/Black Caribbean","5,013"
"2019/20","Mixed other","14,836"
"2019/20","White","4,180"
"2019/20","White British","4,166"
"2019/20","White Irish","3,904"
"2019/20","White other","6,361"
"2019/20","Other inc Chinese","7,402"
"2019/20","Chinese","1,691"
"2019/20","Any other","18,098"
