"Measure","Measure_type","Ethnicity","Ethnicity_type","Time","Time_Type","Region","Age","Age_Type","Sex","Disability","Value","confidence_interval","Numerator","denominator","samp_size"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","All","All","17.1","0.4","742100","4331800","28692"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","All","Disabled","28.7","1.6","102900","359100","3048"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","All","Non-disabled","16.1","0.5","635500","3957600","25438"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","All","unknown","24.7","5.9","3700","15100","206"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Female","All","15.2","0.6","313800","2066100","14434"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Female","Disabled","23.9","2.1","47500","198700","1617"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Female","Non-disabled","14.3","0.6","265300","1861200","12707"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Female","unknown","15.1","6.7","900","6200","110"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Male","All","18.9","0.6","428300","2265800","14258"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Male","Disabled","34.5","2.5","55400","160500","1431"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Male","Non-disabled","17.7","0.7","370200","2096400","12731"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","16-24","16+","Male","unknown","31.2","9.3","2800","8900","96"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","All","All","4.9","0.1","888700","18077500","95413"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","All","Disabled","11","0.5","205700","1870400","14590"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","All","Non-disabled","4.2","0.1","677800","16115900","80230"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","All","unknown","5.7","1.9","5200","91200","593"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Female","All","5.1","0.2","427500","8451100","50955"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Female","Disabled","9.9","0.6","100700","1021000","8594"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Female","Non-disabled","4.4","0.2","324500","7384700","42025"
"Unemployed","Percentage of individuals unemployed","All","All","2014","year","All","25-49","16+","Female","unknown","5.1","2.3","2300","45400","336"
