"","All","","Asian","","Black","","Chinese","","Mixed","","White","","Other",""
"Local authority ","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils","%","Pupils"
"Barking and Dagenham","80","2,813","88","673","82","892","100","10","75","232","76","962","65","31"
"Barnet","86","3,613","90","421","81","401","100","55","85","364","87","1,929","86","397"
"Barnsley","81","2,285","96","24","82","18","100","2","76","54","81","2,159","100","10"
"Bath and North East Somerset","80","1,444","93","26","64","7","80","4","74","70","80","1,319","67","6"
"Bedford","71","1,533","71","232","73","91","83","5","63","161","72","1,018","64","18"
"Bexley","81","2,729","93","252","86","519","98","55","82","192","78","1,650","73","43"
"Birmingham","77","12,487","79","4,820","76","1,604","94","82","73","1,016","75","4,139","79","674"
"Blackburn with Darwen","82","1,793","83","820","88","29","100","5","82","59","80","854","100","21"
"Blackpool","82","1,378","91","32","60","3","75","3","75","45","83","1,288","75","6"
"Bolton","79","3,124","80","779","67","167","100","6","81","126","80","1,981","70","52"
"Bournemouth, Christchurch and Poole","81","3,120","95","125","81","13","93","13","84","190","81","2,722","78","31"
"Bracknell Forest","79","1,123","87","68","79","38","90","9","84","85","78","911","86","6"
"Bradford","78","6,150","82","2,771","79","103","100","7","76","310","74","2,852","76","77"
"Brent","84","3,070","87","963","80","705","100","9","83","236","85","785","82","353"
"Brighton and Hove","79","2,124","84","71","79","46","89","17","84","237","78","1,669","82","46"
"Bristol, City of","78","3,786","78","303","72","393","100","23","72","318","80","2,698","65","32"
"Bromley","85","3,189","95","203","81","298","100","28","84","344","85","2,211","81","55"
"Buckinghamshire","79","4,926","81","849","69","115","96","24","78","381","78","3,482","83","35"
"Bury","80","1,900","79","286","71","41","83","10","76","88","81","1,444","77","24"
"Calderdale","79","2,169","81","391","64","16","100","9","81","89","79","1,646","73","11"
"Cambridgeshire","77","5,372","86","255","69","59","96","45","77","291","76","4,611","85","52"
"Camden","86","1,320","85","294","87","253","94","16","86","146","86","527","83","67"
"Central Bedfordshire","77","2,672","89","66","83","74","100","4","75","194","76","2,300","78","14"
"Cheshire East","80","3,387","84","72","81","13","93","13","79","139","80","3,128","63","12"
"Cheshire West and Chester","78","3,111","85","51","58","11","88","15","80","85","78","2,919","81","17"
"City of London","96","27","100","11","100","2","N/A","N/A","100","4","100","9","50","1"
"Cornwall","76","4,435","80","12","33","1","89","8","74","106","76","4,240","86","19"
"County Durham","80","4,564","88","30","89","8","89","16","88","88","79","4,397","79","15"
"Coventry","77","3,400","81","774","77","411","90","19","75","220","76","1,901","68","48"
"Croydon","79","3,687","90","655","76","1,004","94","30","74","543","80","1,360","80","55"
"Cumbria","78","4,076","80","35","56","5","88","7","82","63","78","3,905","79","15"
"Darlington","83","1,056","90","28","86","6","100","1","73","22","82","981","82","9"
"Derby","76","2,515","83","518","75","97","100","10","77","191","74","1,619","76","56"
"Derbyshire","79","6,918","91","96","75","18","94","31","82","215","79","6,483","91","20"
"Devon","77","6,113","94","58","91","10","96","22","79","153","77","5,788","74","39"
"Doncaster","78","2,911","84","92","84","46","86","18","73","80","77","2,647","77","17"
"Dorset","76","2,963","89","24","67","8","100","12","76","93","76","2,810","67","2"
"Dudley","74","2,861","79","323","64","60","71","10","67","174","74","2,229","66","54"
"Ealing","85","3,671","87","1,094","78","538","100","18","83","299","86","1,127","84","558"
"East Riding of Yorkshire","79","2,877","94","16","71","5","50","1","81","63","79","2,757","89","16"
"East Sussex","75","4,144","82","94","83","34","93","13","77","246","75","3,696","53","17"
"Enfield","81","3,753","91","351","79","917","97","28","84","405","79","1,785","86","213"
"Essex","80","13,248","94","424","85","443","100","54","83","750","79","11,330","86","113"
"Gateshead","82","1,716","83","38","89","33","100","9","84","32","81","1,567","79","26"
"Gloucestershire","78","5,345","86","176","70","78","94","16","79","267","78","4,734","73","16"
