"","Community/Prison","","Nursing","","Residential",""
"Ethnicity","Number ","%","Number ","%","Number ","%"
"Asian","28,605","6.4","935","2.0","2,240","1.8"
"Bangladeshi","3,170","0.7","50","0.1","160","0.1"
"Chinese","925","0.2","80","0.2","205","0.2"
"Indian","9,745","2.2","380","0.8","895","0.7"
"Pakistani","8,250","1.8","130","0.3","365","0.3"
"Asian other","6,515","1.5","295","0.6","620","0.5"
"Black","23,945","5.3","1,385","3.0","2,705","2.2"
"Black African","8,755","1.9","355","0.8","615","0.5"
"Black Caribbean","10,805","2.4","830","1.8","1,620","1.3"
"Black other","4,385","1.0","200","0.4","470","0.4"
"Mixed","6,305","1.4","300","0.6","1,010","0.8"
"Mixed White/Asian","930","0.2","35","0.1","170","0.1"
"Mixed White/Black African","580","0.1","20","0.0","80","0.1"
"Mixed White/Black Caribbean","1,545","0.3","55","0.1","245","0.2"
"Mixed other","3,250","0.7","195","0.4","520","0.4"
"White","361,905","80.6","41,335","88.9","113,825","90.7"
"White British","345,470","76.9","39,385","84.7","109,530","87.3"
"White Irish","4,335","1.0","700","1.5","1,490","1.2"
"White Gypsy/Traveller","200","0.0","25","0.0","45","0.0"
"White other","11,905","2.7","1,225","2.6","2,760","2.2"
"Other","5,205","1.2","290","0.6","690","0.6"
"Arab","475","0.1","15","0.0","25","0.0"
"Any other","4,730","1.1","275","0.6","665","0.5"
"Unknown","23,030","5.1","2,225","4.8","5,025","4.0"
