"","All","Asian","Black","Mixed","White British","White other","Other"
"Measure Type","£","£","£","£","£","£","£"
"Gross income","533","387","371","485","541","478","578"
"Benefit income","228","198","208","214","230","205","211"
"Benefit Income of which State Pension","182","131","136","156","185","145","140"
"Benefit Income of which Income-related benefits","22","39","50","38","20","36","45"
"Benefit Income of which Disability benefits","17","17","15","16","17","15","17"
"Occupational pension income","154","69","62","81","160","97","131"
"Personal pension income","20","9","5","13","21","16","6"
"Investment income","40","25","3","15","41","32","70"
"Earnings income","86","80","88","158","85","123","158"
"Other income","4","6","4","3","4","5","3"
