"Ethnicity","Measure Type","£"
"All","Gross income","533"
"All","Benefit income","228"
"All","Benefit Income of which State Pension","182"
"All","Benefit Income of which Income-related benefits","22"
"All","Benefit Income of which Disability benefits","17"
"All","Occupational pension income","154"
"All","Personal pension income","20"
"All","Investment income","40"
"All","Earnings income","86"
"All","Other income","4"
"Asian","Gross income","387"
"Asian","Benefit income","198"
"Asian","Benefit Income of which State Pension","131"
"Asian","Benefit Income of which Income-related benefits","39"
"Asian","Benefit Income of which Disability benefits","17"
"Asian","Occupational pension income","69"
"Asian","Personal pension income","9"
"Asian","Investment income","25"
"Asian","Earnings income","80"
"Asian","Other income","6"
"Black","Gross income","371"
"Black","Benefit income","208"
"Black","Benefit Income of which State Pension","136"
"Black","Benefit Income of which Income-related benefits","50"
"Black","Benefit Income of which Disability benefits","15"
"Black","Occupational pension income","62"
"Black","Personal pension income","5"
"Black","Investment income","3"
"Black","Earnings income","88"
"Black","Other income","4"
"Mixed","Gross income","485"
"Mixed","Benefit income","214"
"Mixed","Benefit Income of which State Pension","156"
"Mixed","Benefit Income of which Income-related benefits","38"
"Mixed","Benefit Income of which Disability benefits","16"
"Mixed","Occupational pension income","81"
"Mixed","Personal pension income","13"
"Mixed","Investment income","15"
"Mixed","Earnings income","158"
"Mixed","Other income","3"
"White British","Gross income","541"
"White British","Benefit income","230"
"White British","Benefit Income of which State Pension","185"
"White British","Benefit Income of which Income-related benefits","20"
"White British","Benefit Income of which Disability benefits","17"
"White British","Occupational pension income","160"
"White British","Personal pension income","21"
"White British","Investment income","41"
"White British","Earnings income","85"
"White British","Other income","4"
"White other","Gross income","478"
"White other","Benefit income","205"
"White other","Benefit Income of which State Pension","145"
"White other","Benefit Income of which Income-related benefits","36"
"White other","Benefit Income of which Disability benefits","15"
"White other","Occupational pension income","97"
"White other","Personal pension income","16"
"White other","Investment income","32"
"White other","Earnings income","123"
"White other","Other income","5"
"Other","Gross income","578"
"Other","Benefit income","211"
"Other","Benefit Income of which State Pension","140"
"Other","Benefit Income of which Income-related benefits","45"
"Other","Benefit Income of which Disability benefits","17"
"Other","Occupational pension income","131"
"Other","Personal pension income","6"
"Other","Investment income","70"
"Other","Earnings income","158"
"Other","Other income","3"
