"","Percentage of individuals in bottom income quintile (lowest income)","Percentage of individuals in second income quintile","Percentage of individuals in third income quintile","Percentage of individuals in fourth income quintile","Percentage of individuals in top income quintile (highest income)"
"Ethnicity","%","%","%","%","%"
"Asian","34","24","16","12","14"
"Bangladeshi","48","27","15","6","4"
"Chinese","32","17","17","12","22"
"Indian","22","18","19","17","24"
"Pakistani","43","33","15","6","4"
"Asian other","37","23","14","13","12"
"Black","39","23","17","12","8"
"Mixed","30","15","19","20","16"
"White","18","20","21","21","21"
"White British","17","20","21","21","21"
"White other","25","19","18","20","19"
"Other","39","19","13","14","14"
