"Income Quintile Disitribution","Ethnicity","%"
"Percentage of individuals in bottom income quintile (lowest income)","Asian","32"
"Percentage of individuals in bottom income quintile (lowest income)","Bangladeshi","37"
"Percentage of individuals in bottom income quintile (lowest income)","Chinese","30"
"Percentage of individuals in bottom income quintile (lowest income)","Indian","21"
"Percentage of individuals in bottom income quintile (lowest income)","Pakistani","47"
"Percentage of individuals in bottom income quintile (lowest income)","Asian other","27"
"Percentage of individuals in bottom income quintile (lowest income)","Black","31"
"Percentage of individuals in bottom income quintile (lowest income)","Mixed","24"
"Percentage of individuals in bottom income quintile (lowest income)","White","18"
"Percentage of individuals in bottom income quintile (lowest income)","White British","18"
"Percentage of individuals in bottom income quintile (lowest income)","White other","19"
"Percentage of individuals in bottom income quintile (lowest income)","Other","30"
"Percentage of individuals in second income quintile","Asian","22"
"Percentage of individuals in second income quintile","Bangladeshi","30"
"Percentage of individuals in second income quintile","Chinese","15"
"Percentage of individuals in second income quintile","Indian","17"
"Percentage of individuals in second income quintile","Pakistani","26"
"Percentage of individuals in second income quintile","Asian other","23"
"Percentage of individuals in second income quintile","Black","26"
"Percentage of individuals in second income quintile","Mixed","19"
"Percentage of individuals in second income quintile","White","20"
"Percentage of individuals in second income quintile","White British","20"
"Percentage of individuals in second income quintile","White other","17"
"Percentage of individuals in second income quintile","Other","22"
"Percentage of individuals in third income quintile","Asian","17"
"Percentage of individuals in third income quintile","Bangladeshi","18"
"Percentage of individuals in third income quintile","Chinese","17"
"Percentage of individuals in third income quintile","Indian","19"
"Percentage of individuals in third income quintile","Pakistani","16"
"Percentage of individuals in third income quintile","Asian other","17"
"Percentage of individuals in third income quintile","Black","19"
"Percentage of individuals in third income quintile","Mixed","16"
"Percentage of individuals in third income quintile","White","20"
"Percentage of individuals in third income quintile","White British","21"
"Percentage of individuals in third income quintile","White other","19"
"Percentage of individuals in third income quintile","Other","15"
"Percentage of individuals in fourth income quintile","Asian","14"
"Percentage of individuals in fourth income quintile","Bangladeshi","12"
"Percentage of individuals in fourth income quintile","Chinese","11"
"Percentage of individuals in fourth income quintile","Indian","19"
"Percentage of individuals in fourth income quintile","Pakistani","7"
"Percentage of individuals in fourth income quintile","Asian other","17"
"Percentage of individuals in fourth income quintile","Black","15"
"Percentage of individuals in fourth income quintile","Mixed","23"
"Percentage of individuals in fourth income quintile","White","21"
"Percentage of individuals in fourth income quintile","White British","21"
"Percentage of individuals in fourth income quintile","White other","20"
"Percentage of individuals in fourth income quintile","Other","17"
"Percentage of individuals in top income quintile (highest income)","Asian","15"
"Percentage of individuals in top income quintile (highest income)","Bangladeshi","3"
"Percentage of individuals in top income quintile (highest income)","Chinese","27"
"Percentage of individuals in top income quintile (highest income)","Indian","25"
"Percentage of individuals in top income quintile (highest income)","Pakistani","4"
"Percentage of individuals in top income quintile (highest income)","Asian other","15"
"Percentage of individuals in top income quintile (highest income)","Black","10"
"Percentage of individuals in top income quintile (highest income)","Mixed","18"
"Percentage of individuals in top income quintile (highest income)","White","21"
"Percentage of individuals in top income quintile (highest income)","White British","21"
"Percentage of individuals in top income quintile (highest income)","White other","25"
"Percentage of individuals in top income quintile (highest income)","Other","16"
