"","1 Year After Graduation","","3 Years After Graduation","","5 Years After Graduation","","10 Years After Graduation",""
"Ethnicity","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)","Sustained employment only (%)","Further study with or without sustained employment (%)"
"All","64.2","24.6","72.5","15.2","76.1","10.6","79.2","5.7"
"Bangladeshi","62.8","25.6","74.2","13.2","77.4","7.2","77.8","4.3"
"Chinese","53.8","27.9","64.9","15.4","66.0","9.2","66.6","3.9"
"Indian","62.3","27.2","73.9","14.8","77.8","9.3","80.3","4.6"
"Pakistani","57.1","28.4","69.5","14.8","73.5","9.1","74.9","5.0"
"Any Other Asian Background","60.2","26.5","67.9","16.1","71.9","11.0","72.7","6.7"
"Black African","59.2","28.2","66.1","19.2","67.9","14.7","69.2","9.4"
"Black Caribbean","67.2","20.3","71.2","16.1","76.0","10.9","77.4","7.1"
"Any Other Black Background","61.5","24.5","65.6","18.9","65.8","12.6","72.8","6.8"
"Mixed White And Asian","60.4","25.8","69.7","14.9","72.1","11.3","76.9","6.5"
"Mixed White And Black African","61.5","22.9","67.4","15.2","69.5","11.4","69.7","6.9"
"Mixed White And Black Caribbean","65.9","21.4","72.0","14.7","76.7","9.9","78.3","6.7"
"Any Other Mixed Ethnic Background","59.0","25.7","66.8","15.8","69.0","12.4","73.3","6.3"
"White","65.6","24.0","73.7","15.0","77.3","10.4","80.4","5.6"
"Arab","47.2","34.1","56.2","18.6","60.9","18.0","!","!"
"Other","56.6","26.4","64.4","16.8","66.4","11.9","69.7","6.6"
"Unknown","63.4","20.1","69.0","14.4","69.9","11.1","74.4","6.6"
